Date,GS
2023-03-08,0.5490099820267734
2023-03-09,0.5399470942864762
2023-03-10,0.5354065144821539
2023-03-13,0.5290848955451869
2023-03-14,0.530306186131538
2023-03-15,0.5467606746680752
2023-03-16,0.5314373324462752
2023-03-17,0.5372493547992231
2023-03-20,0.5246854909132834
2023-03-21,0.54012290971713
2023-03-22,0.5333202349561378
2023-03-23,0.5510336067094571
2023-03-24,0.5354959400021101
2023-03-27,0.5295633314422584
2023-03-28,0.5383735881716668
2023-03-29,0.533092572168262
2023-03-30,0.5450141049539288
2023-03-31,0.5457804762485876
2023-04-03,0.5306372738409881
2023-04-04,0.5323717776247979
2023-04-05,0.5415564664337672
2023-04-06,0.5457376427389401
2023-04-10,0.5414886008780537
2023-04-11,0.5474097900218636
2023-04-12,0.535812450981959
2023-04-13,0.5391957155687012
2023-04-14,0.544132799749976
2023-04-17,0.5390270635093074
2023-04-18,0.5608973806759184
2023-04-19,0.5449395468777664
2023-04-20,0.520598229671355
2023-04-21,0.5338147274364395
2023-04-24,0.5331286494670097
2023-04-25,0.5298420035733148
2023-04-26,0.5279359178669666
2023-04-27,0.55611016271732
2023-04-28,0.5496751654842179
2023-05-01,0.5220343576127078
2023-05-02,0.5310519170613274
2023-05-03,0.5290373172568978
2023-05-04,0.553080408446927
2023-05-05,0.5393469386786677
2023-05-08,0.5345482860836209
2023-05-09,0.5466423408305081
2023-05-10,0.5229888553095092
2023-05-11,0.5377590947264365
2023-05-12,0.549823515672983
2023-05-15,0.5358792967988036
2023-05-16,0.5246636242414185
2023-05-17,0.5530194365887934
2023-05-18,0.5311315295965152
2023-05-19,0.5482215098090286
2023-05-22,0.5401478518818688
2023-05-23,0.5419334645664344
2023-05-24,0.5447196685465033
2023-05-25,0.5478744919104672
2023-05-26,0.5449893233945858
2023-05-30,0.5429515802362431
2023-05-31,0.5500989890037298
2023-06-01,0.5379485054875001
2023-06-02,0.519730138790551
2023-06-05,0.5290964746792041
2023-06-06,0.5473524575624814
2023-06-07,0.5473917220172976
2023-06-08,0.531326092504258
2023-06-09,0.5509364054233113
2023-06-12,0.5345662744058295
2023-06-13,0.5345704866013764
2023-06-14,0.535941840952895
2023-06-15,0.5526348954298098
2023-06-16,0.5314887467784648
2023-06-20,0.5512491958519264
2023-06-21,0.5508103861880304
2023-06-22,0.5261957776028999
2023-06-23,0.5477443729764291
2023-06-26,0.5372530472982948
2023-06-27,0.548393852415034
2023-06-28,0.5480372429175504
2023-06-29,0.525372219654095
2023-06-30,0.5304935458629022
2023-07-03,0.557077771069702
2023-07-05,0.5471257266745374
2023-07-06,0.5396917691513982
2023-07-07,0.5474883670049832
2023-07-10,0.5433187862918925
2023-07-11,0.5247279514509376
2023-07-12,0.5559737016559066
2023-07-13,0.5519818535123423
2023-07-14,0.5483440248597722
2023-07-17,0.54446007350899
2023-07-18,0.5545984330639745
2023-07-19,0.5547891166312108
2023-07-20,0.5263403615666528
2023-07-21,0.528972595556645
2023-07-24,0.5552192072132783
2023-07-25,0.5410060652712844
2023-07-26,0.5284475089591599
2023-07-27,0.5264905291915771
2023-07-28,0.5420479833701021
2023-07-31,0.5456255115032042
2023-08-01,0.5414341729711715
2023-08-02,0.5406791538788374
2023-08-03,0.5474090729508244
2023-08-04,0.5392007265897242
2023-08-07,0.5505901251479023
2023-08-08,0.5570305982410872
2023-08-09,0.5370402542745385
2023-08-10,0.5369900124312706
2023-08-11,0.5387935738518134
2023-08-14,0.5357016684469436
2023-08-15,0.5352523454001955
2023-08-16,0.5234542160605109
2023-08-17,0.5348413042680008
2023-08-18,0.5406925072440433
2023-08-21,0.5450899248723697
2023-08-22,0.5280571647078843
2023-08-23,0.5519701021864843
2023-08-24,0.5357263087175476
2023-08-25,0.5426774617776418
2023-08-28,0.5562285759863991
2023-08-29,0.5531307160384723
2023-08-30,0.5464447951469494
2023-08-31,0.5325839269867597
2023-09-01,0.5419090822287534
2023-09-05,0.5303236321379344
2023-09-06,0.5353699129010153
2023-09-07,0.5206754744641428
2023-09-08,0.5442252218271549
2023-09-11,0.5443674253139767
2023-09-12,0.5430821239841522
2023-09-13,0.5419086552254426
2023-09-14,0.5373108288351264
2023-09-15,0.5470650695167704
2023-09-18,0.5311765758950245
2023-09-19,0.5401737754701025
2023-09-20,0.5430469615870485
2023-09-21,0.5376186432670255
2023-09-22,0.5360374605608932
2023-09-25,0.5402401470970029
2023-09-26,0.5423515875078836
2023-09-27,0.5348896472517345
2023-09-28,0.5397886612478664
2023-09-29,0.5469957826806994
2023-10-02,0.5305235377984109
2023-10-03,0.522235145027616
2023-10-04,0.5446194277412272
2023-10-05,0.5303433828400165
2023-10-06,0.5523549640227716
2023-10-09,0.5433016479750877
2023-10-10,0.5440599812942061
2023-10-11,0.5392681023300038
2023-10-12,0.5314700221308287
2023-10-13,0.5334587074206256
2023-10-16,0.5490191888556764
2023-10-17,0.5513168500983764
2023-10-18,0.5408718158766965
2023-10-19,0.5500214866159208
2023-10-20,0.5333421564200528
2023-10-23,0.5401121580971643
2023-10-24,0.530192920706947
2023-10-25,0.5433307222468545
2023-10-26,0.5398403005365424
2023-10-27,0.5408240778910547
2023-10-30,0.5398411707330671
2023-10-31,0.5459706148437887
2023-11-01,0.5368247536924686
2023-11-02,0.5509471185160854
2023-11-03,0.5434515185099104
2023-11-06,0.5471514648510073
2023-11-07,0.5335612276048565
2023-11-08,0.5432536476918969
2023-11-09,0.5436071004321134
2023-11-10,0.5352001728394468
2023-11-13,0.5393217863404653
2023-11-14,0.5538498918821358
