Date,TFC
2023-03-08,0.5480202263618086
2023-03-09,0.5402649767881349
2023-03-10,0.5407477450927249
2023-03-13,0.542322441181609
2023-03-14,0.5417698629660926
2023-03-15,0.5450833382276526
2023-03-16,0.5450833164500876
2023-03-17,0.5427110921279508
2023-03-20,0.5466256025008763
2023-03-21,0.5478897419417837
2023-03-22,0.5410494393423307
2023-03-23,0.5468496501343444
2023-03-24,0.5484466735376095
2023-03-27,0.540884621200015
2023-03-28,0.548198166420436
2023-03-29,0.5446559671376446
2023-03-30,0.540755194825099
2023-03-31,0.5452817719455694
2023-04-03,0.5395993913223759
2023-04-04,0.541464144541716
2023-04-05,0.5452205937921244
2023-04-06,0.5438640161633063
2023-04-10,0.545326785229148
2023-04-11,0.5403180877544244
2023-04-12,0.5399166790294659
2023-04-13,0.5474482619062205
2023-04-14,0.5440343523242351
2023-04-17,0.5444401052791511
2023-04-18,0.5416119239997691
2023-04-19,0.5467225725710422
2023-04-20,0.5420611660255638
2023-04-21,0.5426159309517387
2023-04-24,0.5442002389186271
2023-04-25,0.5398704721011298
2023-04-26,0.5504847689504734
2023-04-27,0.5445378512268805
2023-04-28,0.5449364057433396
2023-05-01,0.5429789672303423
2023-05-02,0.542496815357104
2023-05-03,0.5417807489172385
2023-05-04,0.5424081139825173
2023-05-05,0.5456486964377635
2023-05-08,0.5449966191922614
2023-05-09,0.5418527843125642
2023-05-10,0.5420478967194392
2023-05-11,0.5414741628601494
2023-05-12,0.5448637978613942
2023-05-15,0.5464599504261708
2023-05-16,0.5435081968051882
2023-05-17,0.5503491418955707
2023-05-18,0.541569703532574
2023-05-19,0.5452510700774953
2023-05-22,0.5516712291994753
2023-05-23,0.5451755805085459
2023-05-24,0.5448905087820136
2023-05-25,0.5479752062419562
2023-05-26,0.5481850414516982
2023-05-30,0.5452205937921244
2023-05-31,0.5461207567663774
2023-06-01,0.5458593536441174
2023-06-02,0.5456486964377635
2023-06-05,0.5427467667206062
2023-06-06,0.5481172693011017
2023-06-07,0.5461075314757656
2023-06-08,0.5443385543543906
2023-06-09,0.54298362375189
2023-06-12,0.5418544357457475
2023-06-13,0.5419589757495877
2023-06-14,0.5444862935443812
2023-06-15,0.5458661903242089
2023-06-16,0.5417539781976222
2023-06-20,0.5440200785537074
2023-06-21,0.5452205937921244
2023-06-22,0.5394073535816851
2023-06-23,0.5429221875183575
2023-06-26,0.5441889087805106
2023-06-27,0.5451845980345938
2023-06-28,0.5480202263618086
2023-06-29,0.5465643387490653
2023-06-30,0.5417090071517563
2023-07-03,0.5465572784252726
2023-07-05,0.5429221875183575
2023-07-06,0.5403933838702253
2023-07-07,0.548198166420436
2023-07-10,0.5479752062419562
2023-07-11,0.5428537668184811
2023-07-12,0.5452817719455694
2023-07-13,0.5488613374995496
2023-07-14,0.5429161668051493
2023-07-17,0.5428035454349431
2023-07-18,0.5463825341812022
2023-07-19,0.546790614538112
2023-07-20,0.5430083942095036
2023-07-21,0.5437980339811483
2023-07-24,0.5438742200632453
2023-07-25,0.5452818383054684
2023-07-26,0.5460082065125514
2023-07-27,0.5404439187700186
2023-07-28,0.5508199137692272
2023-07-31,0.5459449994923192
2023-08-01,0.542802187487046
2023-08-02,0.5406722525840292
2023-08-03,0.5454187129401289
2023-08-04,0.545326785229148
2023-08-07,0.5403180877544244
2023-08-08,0.5449375130121342
2023-08-09,0.541763737783633
2023-08-10,0.5451755805085459
2023-08-11,0.548198166420436
2023-08-14,0.5417928524117204
2023-08-15,0.5406549799247015
2023-08-16,0.5381858972799326
2023-08-17,0.5452205937921244
2023-08-18,0.5452205937921244
2023-08-21,0.5452205937921244
2023-08-22,0.538569222876292
2023-08-23,0.5418618018386122
2023-08-24,0.5451755805085459
2023-08-25,0.5442002389186271
2023-08-28,0.5452817719455694
2023-08-29,0.543244651024703
2023-08-30,0.5452205937921244
2023-08-31,0.5451755805085459
2023-09-01,0.5418527843125642
2023-09-05,0.5444862935443812
2023-09-06,0.5395993913223759
2023-09-07,0.5394221153655052
2023-09-08,0.5452817719455694
2023-09-11,0.5429988117479506
2023-09-12,0.5442387148300087
2023-09-13,0.5394373057179864
2023-09-14,0.5487306876914435
2023-09-15,0.5417928524117204
2023-09-18,0.5409707448748304
2023-09-19,0.5452205937921244
2023-09-20,0.5455122054976682
2023-09-21,0.5450255175327112
2023-09-22,0.5452679783611329
2023-09-25,0.5482431797040146
2023-09-26,0.5407385457584649
2023-09-27,0.543104353325995
2023-09-28,0.5452817719455694
2023-09-29,0.5479140349247852
2023-10-02,0.543150090805629
2023-10-03,0.5421613166156067
2023-10-04,0.5419589757495877
2023-10-05,0.5428035454349431
2023-10-06,0.5452817719455694
2023-10-09,0.5439090294468848
2023-10-10,0.543640883950406
2023-10-11,0.5463184848274744
2023-10-12,0.5440200785537074
2023-10-13,0.5395543780387974
2023-10-16,0.5456330255532345
2023-10-17,0.5403478280434865
2023-10-18,0.5419678063218835
2023-10-19,0.5450499664489579
2023-10-20,0.5425127357704329
2023-10-23,0.5459311928644485
2023-10-24,0.5457750797510875
2023-10-25,0.5427423250437855
2023-10-26,0.5473181936445147
2023-10-27,0.5423102517007993
2023-10-30,0.5465643387490653
2023-10-31,0.545807940574056
2023-11-01,0.5428035454349431
2023-11-02,0.5481172693011017
2023-11-03,0.5497832148250474
2023-11-06,0.5429221875183575
2023-11-07,0.545326785229148
2023-11-08,0.5452817719455694
2023-11-09,0.5421064094770814
2023-11-10,0.5428035454349431
2023-11-13,0.545326785229148
2023-11-14,0.5496859886722206
2023-11-15,0.5474796863220792
