Date,COF
2023-03-08,0.5586986764425904
2023-03-09,0.5381412199284906
2023-03-10,0.5576147113572106
2023-03-13,0.5509869861891844
2023-03-14,0.5499947214382271
2023-03-15,0.5295748809740052
2023-03-16,0.5566202608965383
2023-03-17,0.5355909945313754
2023-03-20,0.521452626873808
2023-03-21,0.5569504505505964
2023-03-22,0.5373249531918418
2023-03-23,0.5551849174970402
2023-03-24,0.5492430951303767
2023-03-27,0.5537100124135951
2023-03-28,0.5541856841688979
2023-03-29,0.5686832011350132
2023-03-30,0.5470360369864459
2023-03-31,0.525155432140024
2023-04-03,0.5739929646820481
2023-04-04,0.541687094310153
2023-04-05,0.5272784336162349
2023-04-06,0.5374919944026487
2023-04-10,0.5432074301718286
2023-04-11,0.5464642928686626
2023-04-12,0.5435819044731277
2023-04-13,0.5647915734832283
2023-04-14,0.5493062591042871
2023-04-17,0.542555374699761
2023-04-18,0.5646688466768638
2023-04-19,0.5734911318146251
2023-04-20,0.565711856616466
2023-04-21,0.5483290808907705
2023-04-24,0.539913688780734
2023-04-25,0.5580150622338861
2023-04-26,0.5372085814009968
2023-04-27,0.5342375577085564
2023-04-28,0.5667813571448094
2023-05-01,0.5688355528097392
2023-05-02,0.5546347746461461
2023-05-03,0.5657792347073229
2023-05-04,0.5642324475711963
2023-05-05,0.555584170083558
2023-05-08,0.5402417848405651
2023-05-09,0.5329076630777624
2023-05-10,0.5645075801841982
2023-05-11,0.5591690259627649
2023-05-12,0.548321932802962
2023-05-15,0.5576821300681422
2023-05-16,0.5372849611488487
2023-05-17,0.5574749611022809
2023-05-18,0.5746605655332085
2023-05-19,0.5564728578733636
2023-05-22,0.576290889501776
2023-05-23,0.5362973930188264
2023-05-24,0.5308693891350125
2023-05-25,0.5550866464602812
2023-05-26,0.5467000075090959
2023-05-30,0.5351961709628338
2023-05-31,0.5474287451681121
2023-06-01,0.5288430794626141
2023-06-02,0.5538885111309184
2023-06-05,0.5640744466003805
2023-06-06,0.5563203189148478
2023-06-07,0.5607103776643153
2023-06-08,0.5519962241761273
2023-06-09,0.5640633665122042
2023-06-12,0.538049743304197
2023-06-13,0.5496159510026795
2023-06-14,0.5678203170618179
2023-06-15,0.5474309607895959
2023-06-16,0.5700045812163389
2023-06-20,0.5472569758316593
2023-06-21,0.5676398179720867
2023-06-22,0.5659725132016958
2023-06-23,0.5573231316119731
2023-06-26,0.550188122914932
2023-06-27,0.5462681747925667
2023-06-28,0.5435630282224921
2023-06-29,0.539238173464739
2023-06-30,0.5684923217731006
2023-07-03,0.5635909875559372
2023-07-05,0.5407165600574454
2023-07-06,0.5703505503895991
2023-07-07,0.5638998264001641
2023-07-10,0.5689168556839425
2023-07-11,0.5387426673691335
2023-07-12,0.5641561094490503
2023-07-13,0.5474104081940596
2023-07-14,0.5264068671316297
2023-07-17,0.5616729117421161
2023-07-18,0.5405584542085561
2023-07-19,0.5501146734923158
2023-07-20,0.5636405951619422
2023-07-21,0.5391075365472028
2023-07-24,0.546027731390836
2023-07-25,0.5412017711020766
2023-07-26,0.5588906866673394
2023-07-27,0.5760736428140812
2023-07-28,0.5732512803523976
2023-07-31,0.5321933409645293
2023-08-01,0.5348906808136495
2023-08-02,0.562383212588318
2023-08-03,0.5365613175005529
2023-08-04,0.5425424883258977
2023-08-07,0.5299018125884852
2023-08-08,0.528523460048557
2023-08-09,0.5613606470712966
2023-08-10,0.549065914971947
2023-08-11,0.5699962506279078
2023-08-14,0.5532989603127597
2023-08-15,0.5572380598640873
2023-08-16,0.5755812894119187
2023-08-17,0.5452658806485867
2023-08-18,0.5244959799159645
2023-08-21,0.5459377714300532
2023-08-22,0.536748595311933
2023-08-23,0.545958702442522
2023-08-24,0.5578733905819786
2023-08-25,0.5272611666484348
2023-08-28,0.5464849131882481
2023-08-29,0.5600209835564275
2023-08-30,0.5438464729459757
2023-08-31,0.5571111272030999
2023-09-01,0.5580733404934065
2023-09-05,0.5699461918329102
2023-09-06,0.551621845241157
2023-09-07,0.5586518024288312
2023-09-08,0.5321838110363029
2023-09-11,0.525594154622426
2023-09-12,0.5275010586258696
2023-09-13,0.5417158765940219
2023-09-14,0.5761066639645166
2023-09-15,0.5477769371748931
2023-09-18,0.5528490286524222
2023-09-19,0.5342481129269571
2023-09-20,0.5561843597087176
2023-09-21,0.5394190240735717
2023-09-22,0.545609800062638
2023-09-25,0.559264575039797
2023-09-26,0.5433474941198867
2023-09-27,0.5604196023255192
2023-09-28,0.537039484993891
2023-09-29,0.5592223080213776
2023-10-02,0.534657569801911
2023-10-03,0.5349761329186645
2023-10-04,0.5551054364250873
2023-10-05,0.5521236423248336
2023-10-06,0.5399416497332366
2023-10-09,0.5449743836232163
2023-10-10,0.5631355031666645
2023-10-11,0.5506494068619713
2023-10-12,0.566336490311519
2023-10-13,0.5434426706406627
2023-10-16,0.5424195012074544
2023-10-17,0.5413091892681431
2023-10-18,0.5686247407297453
2023-10-19,0.569304846372211
2023-10-20,0.5445409177662034
2023-10-23,0.5426009079541925
2023-10-24,0.5609061184757643
2023-10-25,0.5638226932058067
2023-10-26,0.5710804574940483
2023-10-27,0.5660181796937526
2023-10-30,0.5465070245539249
2023-10-31,0.5305539066780095
2023-11-01,0.562733338824804
2023-11-02,0.5590084707703266
2023-11-03,0.5494334086852594
2023-11-06,0.5349299654614351
2023-11-07,0.5473702908232714
2023-11-08,0.5414904986046918
2023-11-09,0.5655662000427183
2023-11-10,0.5454180001996862
2023-11-13,0.5450324371161445
2023-11-14,0.5444005161368698
2023-11-15,0.5713687892807285
