Date,STT
2023-03-08,0.5442014354641969
2023-03-09,0.5573667724741789
2023-03-10,0.5307695365515577
2023-03-13,0.5462576587291414
2023-03-14,0.5373210292718493
2023-03-15,0.5428626125144489
2023-03-16,0.5304134790462077
2023-03-17,0.539985161216859
2023-03-20,0.5296332729011711
2023-03-21,0.548249282982118
2023-03-22,0.5549505782717886
2023-03-23,0.5562765965381994
2023-03-24,0.549345832901957
2023-03-27,0.5583384298807785
2023-03-28,0.5467886342386518
2023-03-29,0.527351516313937
2023-03-30,0.5553036889515833
2023-03-31,0.5478078968803085
2023-04-03,0.5447706892436955
2023-04-04,0.5354765374649643
2023-04-05,0.5515661859536166
2023-04-06,0.5422411711344579
2023-04-10,0.5366051664462382
2023-04-11,0.5464118476758476
2023-04-12,0.5478279558322144
2023-04-13,0.5262971733888047
2023-04-14,0.5372435197012243
2023-04-17,0.5428330197174547
2023-04-18,0.5288049859178734
2023-04-19,0.5231883435365396
2023-04-20,0.5389821868568904
2023-04-21,0.5264343112857829
2023-04-24,0.5250718029496072
2023-04-25,0.5238627867558822
2023-04-26,0.5596286990915028
2023-04-27,0.5422505510873094
2023-04-28,0.5537616092769766
2023-05-01,0.5350064351484809
2023-05-02,0.5293076380685382
2023-05-03,0.5412710344953723
2023-05-04,0.5265003300634904
2023-05-05,0.5420744136486315
2023-05-08,0.532035229404749
2023-05-09,0.5556204937321138
2023-05-10,0.5320981783444361
2023-05-11,0.536053675804495
2023-05-12,0.5560358389690135
2023-05-15,0.5254250414808118
2023-05-16,0.5439426355838074
2023-05-17,0.544940602438368
2023-05-18,0.5540676289570466
2023-05-19,0.5552078068729426
2023-05-22,0.5245351447186676
2023-05-23,0.556512718824505
2023-05-24,0.5372156073716821
2023-05-25,0.5267178759996624
2023-05-26,0.5305797271540427
2023-05-30,0.5560512628549631
2023-05-31,0.5446845274698787
2023-06-01,0.5332005936499687
2023-06-02,0.5509732055766986
2023-06-05,0.5321817769605718
2023-06-06,0.5272754311292452
2023-06-07,0.5514991098417489
2023-06-08,0.5468356809050113
2023-06-09,0.5431780114309727
2023-06-12,0.5407750458232313
2023-06-13,0.5348684203430457
2023-06-14,0.543285890036875
2023-06-15,0.5453569950448682
2023-06-16,0.5342291498637531
2023-06-20,0.5550606608779566
2023-06-21,0.5492809398950622
2023-06-22,0.5319567884424033
2023-06-23,0.5436215629443367
2023-06-26,0.5509011746370214
2023-06-27,0.5331274898014486
2023-06-28,0.5397757931669956
2023-06-29,0.5525622771710825
2023-06-30,0.5258258189028397
2023-07-03,0.5315392948849554
2023-07-05,0.5478025642434899
2023-07-06,0.5248297512729109
2023-07-07,0.5306767915944871
2023-07-10,0.5307187283690123
2023-07-11,0.5526403593939879
2023-07-12,0.5406322908663443
2023-07-13,0.5192378556356884
2023-07-14,0.5575220910804243
2023-07-17,0.543151004867268
2023-07-18,0.5448193612805113
2023-07-19,0.525218242136921
2023-07-20,0.5261726089126729
2023-07-21,0.5357415428901896
2023-07-24,0.5295441691963249
2023-07-25,0.5293943648364814
2023-07-26,0.5287594176790235
2023-07-27,0.5282540229117695
2023-07-28,0.5285760631316214
2023-07-31,0.5403838196485004
2023-08-01,0.5272048991206963
2023-08-02,0.5404102913324152
2023-08-03,0.5209490084658127
2023-08-04,0.5542278585986358
2023-08-07,0.5511615808138915
2023-08-08,0.5612264215051205
2023-08-09,0.545024875097741
2023-08-10,0.5531579626618742
2023-08-11,0.531193349421547
2023-08-14,0.5435341454982466
2023-08-15,0.5336905327477993
2023-08-16,0.5265707828771752
2023-08-17,0.5423761743351552
2023-08-18,0.5607163165598245
2023-08-21,0.5561109596133631
2023-08-22,0.563313631282946
2023-08-23,0.5352634616395935
2023-08-24,0.5643684210748936
2023-08-25,0.5427079081602443
2023-08-28,0.528039712616411
2023-08-29,0.5462350946219324
2023-08-30,0.5514138584646002
2023-08-31,0.5393812863018428
2023-09-01,0.5497852758087918
2023-09-05,0.5473382901981515
2023-09-06,0.5566985960595968
2023-09-07,0.5407722654848893
2023-09-08,0.530630163349727
2023-09-11,0.5391710395976088
2023-09-12,0.5491609377691572
2023-09-13,0.5323211427711975
2023-09-14,0.5340376137475835
2023-09-15,0.5466176363629253
2023-09-18,0.5351998186747092
2023-09-19,0.5488058979890713
2023-09-20,0.547829326179118
2023-09-21,0.532205397476865
2023-09-22,0.5543377168080011
2023-09-25,0.5337606300141984
2023-09-26,0.5410963746991955
2023-09-27,0.5464070300405891
2023-09-28,0.5306589615151402
2023-09-29,0.5419137609400853
2023-10-02,0.5420982035920715
2023-10-03,0.5408858029007431
2023-10-04,0.5370968803162376
2023-10-05,0.5370916806784841
2023-10-06,0.5368083023280161
2023-10-09,0.5626586373319219
2023-10-10,0.5306149226268831
2023-10-11,0.5420931109544723
2023-10-12,0.5430440322806079
2023-10-13,0.5455294749729681
2023-10-16,0.5392902129158591
2023-10-17,0.5354899102380859
2023-10-18,0.5322654635673056
2023-10-19,0.536712633932698
2023-10-20,0.5264699167202095
2023-10-23,0.559125826060146
2023-10-24,0.5466554699388293
2023-10-25,0.5381776863107334
2023-10-26,0.5246931677930604
2023-10-27,0.5333730091363811
2023-10-30,0.5319692561766083
2023-10-31,0.5288689282939805
2023-11-01,0.5320412922612952
2023-11-02,0.5400219669258886
2023-11-03,0.5374508686034281
2023-11-06,0.548360062721701
2023-11-07,0.5324441066352322
2023-11-08,0.5556638390727461
2023-11-09,0.5438230414164986
2023-11-10,0.5431247108472795
2023-11-13,0.5278574338303076
2023-11-14,0.5362527478381913
