Date,MS
2023-03-08,0.559757297050055
2023-03-09,0.5709566637437778
2023-03-10,0.5742273726511494
2023-03-13,0.5883620557547703
2023-03-14,0.5793052787166194
2023-03-15,0.5785734134906787
2023-03-16,0.5884212339606528
2023-03-17,0.5828507272773047
2023-03-20,0.5824480250145564
2023-03-21,0.5621610032400933
2023-03-22,0.5681844766092895
2023-03-23,0.5685449640742924
2023-03-24,0.5750330279685398
2023-03-27,0.5549247761973991
2023-03-28,0.5822491346081605
2023-03-29,0.5893308249355277
2023-03-30,0.572149551806271
2023-03-31,0.5810399522158071
2023-04-03,0.5801234142242734
2023-04-04,0.5668189454105167
2023-04-05,0.5853185928228948
2023-04-06,0.5699626008322313
2023-04-10,0.5766178629988767
2023-04-11,0.5763591111819902
2023-04-12,0.565553387762232
2023-04-13,0.5839763962440915
2023-04-14,0.5848554218684062
2023-04-17,0.5692133675663289
2023-04-18,0.5746811859126715
2023-04-19,0.5848095825281269
2023-04-20,0.5934955169891217
2023-04-21,0.5729275235447363
2023-04-24,0.56869682627102
2023-04-25,0.5786026807992252
2023-04-26,0.5783049421396862
2023-04-27,0.575352247295249
2023-04-28,0.5751781819106716
2023-05-01,0.5869050007814716
2023-05-02,0.5808781711124281
2023-05-03,0.5766486957137423
2023-05-04,0.5628891546593292
2023-05-05,0.5681121124251297
2023-05-08,0.5816686397076694
2023-05-09,0.5696380717072921
2023-05-10,0.5850304413726538
2023-05-11,0.5788137544387505
2023-05-12,0.5630889195498034
2023-05-15,0.582305283610858
2023-05-16,0.5768222168877749
2023-05-17,0.5518332370770012
2023-05-18,0.5828772127361331
2023-05-19,0.5631878414138675
2023-05-22,0.5905922436088048
2023-05-23,0.5664214471289061
2023-05-24,0.5613050871347528
2023-05-25,0.573225175379548
2023-05-26,0.5758679130295604
2023-05-30,0.5630728850641274
2023-05-31,0.5684111813465056
2023-06-01,0.5898621738835538
2023-06-02,0.5651993098946688
2023-06-05,0.5827222779227035
2023-06-06,0.5785852643479595
2023-06-07,0.5573130215629023
2023-06-08,0.5851510088520703
2023-06-09,0.574229707358976
2023-06-12,0.5796184286527182
2023-06-13,0.5544576719239481
2023-06-14,0.5824363551817013
2023-06-15,0.5697383567352522
2023-06-16,0.583617103606839
2023-06-20,0.5583504026092497
2023-06-21,0.5596608099196464
2023-06-22,0.5893579505802466
2023-06-23,0.5632268019436895
2023-06-26,0.5863749042649039
2023-06-27,0.5773007637350602
2023-06-28,0.5703065778673194
2023-06-29,0.5724081564775122
2023-06-30,0.5775400670397938
2023-07-03,0.5642825653492971
2023-07-05,0.5857506578740928
2023-07-06,0.5910718214787624
2023-07-07,0.5784622115878096
2023-07-10,0.577678857065604
2023-07-11,0.5819460657620529
2023-07-12,0.5556431366318405
2023-07-13,0.5834123258919081
2023-07-14,0.5593899685654277
2023-07-17,0.5730190086583965
2023-07-18,0.5893037141117193
2023-07-19,0.5759859315722609
2023-07-20,0.5802300895895949
2023-07-21,0.588132901743311
2023-07-24,0.573599317126272
2023-07-25,0.5752559356081018
2023-07-26,0.5854664561757789
2023-07-27,0.5864092187779039
2023-07-28,0.5895074506171119
2023-07-31,0.5671678663217579
2023-08-01,0.5453302558513574
2023-08-02,0.5784511539385976
2023-08-03,0.5817676572271581
2023-08-04,0.5809540950602863
2023-08-07,0.5597395023013066
2023-08-08,0.5580555990411752
2023-08-09,0.5700103817615273
2023-08-10,0.5747754728353115
2023-08-11,0.583771197355964
2023-08-14,0.5736359134971974
2023-08-15,0.5700512398261056
2023-08-16,0.58563330906531
2023-08-17,0.5673996892196383
2023-08-18,0.5632648636611001
2023-08-21,0.5695423733872201
2023-08-22,0.5654793925324256
2023-08-23,0.5693164637423255
2023-08-24,0.58613465815141
2023-08-25,0.5697268510902758
2023-08-28,0.5781652923858217
2023-08-29,0.5713013736751775
2023-08-30,0.5570134692809233
2023-08-31,0.5780989498314896
2023-09-01,0.5604326449707179
2023-09-05,0.5869817987348437
2023-09-06,0.5813635910351503
2023-09-07,0.5923434390333048
2023-09-08,0.5718649851115072
2023-09-11,0.5458377441747037
2023-09-12,0.5508049825054907
2023-09-13,0.5776814762543262
2023-09-14,0.5871198555962845
2023-09-15,0.5760639207911299
2023-09-18,0.5924583741984343
2023-09-19,0.572953378035795
2023-09-20,0.5596654462422911
2023-09-21,0.562009072957292
2023-09-22,0.5609369677842252
2023-09-25,0.5671370866190983
2023-09-26,0.5635917029057351
2023-09-27,0.5739537268508534
2023-09-28,0.5871607317610228
2023-09-29,0.5809970621675004
2023-10-02,0.5812388537829885
2023-10-03,0.5789856726585143
2023-10-04,0.5611187994469836
2023-10-05,0.5891511324643889
2023-10-06,0.5668396400210595
2023-10-09,0.5796957566387078
2023-10-10,0.5840942477392499
2023-10-11,0.5667871136143038
2023-10-12,0.578441379382053
2023-10-13,0.5793732686771608
2023-10-16,0.5827491417717972
2023-10-17,0.5825930572985509
2023-10-18,0.5884536134012467
2023-10-19,0.5581227600456403
2023-10-20,0.5686000856274087
2023-10-23,0.5739655218120546
2023-10-24,0.5855946567757768
2023-10-25,0.5672269071943188
2023-10-26,0.5891885746536514
2023-10-27,0.5913680751734431
2023-10-30,0.5810899901593825
2023-10-31,0.5696495946493645
2023-11-01,0.5881979379426769
2023-11-02,0.5591025933662804
2023-11-03,0.5677761167590475
2023-11-06,0.5661835349799184
2023-11-07,0.5625421697504003
2023-11-08,0.5804716155134052
2023-11-09,0.5652136746930366
2023-11-10,0.5801402925085235
2023-11-13,0.5539919255246732
2023-11-14,0.5655673908023703
