Date,BAC
2023-03-08,0.5542481338798312
2023-03-09,0.5567422992054009
2023-03-10,0.557274993863739
2023-03-13,0.552477820841507
2023-03-14,0.5401276858852843
2023-03-15,0.5443557303748918
2023-03-16,0.5449245841200636
2023-03-17,0.5459749172313386
2023-03-20,0.5475772125039836
2023-03-21,0.5348964331762648
2023-03-22,0.5580142393977513
2023-03-23,0.5623242742871825
2023-03-24,0.5545678209316559
2023-03-27,0.5455126771379067
2023-03-28,0.5491930705101392
2023-03-29,0.5395490066260001
2023-03-30,0.5610542086782687
2023-03-31,0.5552881209132318
2023-04-03,0.5495956735853168
2023-04-04,0.5545662036113113
2023-04-05,0.555295105155302
2023-04-06,0.5502944003828333
2023-04-10,0.5501989613421229
2023-04-11,0.5518278604597985
2023-04-12,0.5548337382134917
2023-04-13,0.5518591937892555
2023-04-14,0.5527205966716439
2023-04-17,0.5418280210122054
2023-04-18,0.5446489336158651
2023-04-19,0.5425489774190985
2023-04-20,0.5538591488717234
2023-04-21,0.552508451833608
2023-04-24,0.5558300885710371
2023-04-25,0.5521161936969917
2023-04-26,0.5532297341650269
2023-04-27,0.5468465980760836
2023-04-28,0.5449583211770089
2023-05-01,0.5530909674259102
2023-05-02,0.5498381574290055
2023-05-03,0.5503196165549457
2023-05-04,0.5525084478630131
2023-05-05,0.5333681368281977
2023-05-08,0.5535839309385933
2023-05-09,0.5511619540406353
2023-05-10,0.5526094498588636
2023-05-11,0.5514411879102141
2023-05-12,0.550505154592665
2023-05-15,0.5429128475550579
2023-05-16,0.5532594412987953
2023-05-17,0.5395990466387459
2023-05-18,0.5494128056044164
2023-05-19,0.5548950174839131
2023-05-22,0.5489407538614658
2023-05-23,0.5544139237062878
2023-05-24,0.5558053738214014
2023-05-25,0.5496615493787744
2023-05-26,0.5540938001659842
2023-05-30,0.5560647535299074
2023-05-31,0.5526466172737136
2023-06-01,0.5475267651166905
2023-06-02,0.5365473046043329
2023-06-05,0.5500985739510098
2023-06-06,0.5450454099735711
2023-06-07,0.5531470847920906
2023-06-08,0.5563881397187775
2023-06-09,0.5554450391945115
2023-06-12,0.5545022081702966
2023-06-13,0.5505482002703326
2023-06-14,0.5522392766540429
2023-06-15,0.5444384040215288
2023-06-16,0.5519592090828961
2023-06-20,0.5558785217003739
2023-06-21,0.55687261634089
2023-06-22,0.551386171437581
2023-06-23,0.5560461961524927
2023-06-26,0.5542788410266378
2023-06-27,0.5541562297553402
2023-06-28,0.5542651942034093
2023-06-29,0.5436530115671762
2023-06-30,0.5484285417685638
2023-07-03,0.5505180710921237
2023-07-05,0.5552494698828743
2023-07-06,0.5558302256111448
2023-07-07,0.5507973570933303
2023-07-10,0.5555397258922026
2023-07-11,0.549526220706362
2023-07-12,0.552882682484845
2023-07-13,0.5473102182457287
2023-07-14,0.5557706899961548
2023-07-17,0.5539016350013445
2023-07-18,0.5381181139672288
2023-07-19,0.5506140622557297
2023-07-20,0.5447730379438517
2023-07-21,0.5570605729228743
2023-07-24,0.5545345747801452
2023-07-25,0.5511121569893036
2023-07-26,0.5435970609191711
2023-07-27,0.5483657920260747
2023-07-28,0.5500321013763962
2023-07-31,0.5565591468105786
2023-08-01,0.5540138096084412
2023-08-02,0.5483743735079408
2023-08-03,0.5505416904459981
2023-08-04,0.5538215929548499
2023-08-07,0.551827769274309
2023-08-08,0.5566538382844245
2023-08-09,0.5533207335873428
2023-08-10,0.5535386828012406
2023-08-11,0.5556472317823186
2023-08-14,0.5526065389355475
2023-08-15,0.5503651025731161
2023-08-16,0.5501097591718206
2023-08-17,0.5564242014976433
2023-08-18,0.5554340228180589
2023-08-21,0.5555459246100449
2023-08-22,0.5588831919190823
2023-08-23,0.5483566981987948
2023-08-24,0.5520536218429763
2023-08-25,0.554078282850534
2023-08-28,0.5512890341142358
2023-08-29,0.550221092174045
2023-08-30,0.5563423469204448
2023-08-31,0.5534388849783959
2023-09-01,0.5472198550641333
2023-09-05,0.5470806266278377
2023-09-06,0.5523339222102992
2023-09-07,0.5506195093884673
2023-09-08,0.5483512181061383
2023-09-11,0.5514014152580281
2023-09-12,0.5452692501411728
2023-09-13,0.5486690342559576
2023-09-14,0.5431576544652159
2023-09-15,0.5541813537385312
2023-09-18,0.5516645877716777
2023-09-19,0.5578899336263786
2023-09-20,0.5568930514244129
2023-09-21,0.5548989362893266
2023-09-22,0.5562573540009105
2023-09-25,0.5523699017494355
2023-09-26,0.5536918998321271
2023-09-27,0.5536993983687548
2023-09-28,0.5542228984565268
2023-09-29,0.5521595980225865
2023-10-02,0.5529796337122338
2023-10-03,0.5504840934357027
2023-10-04,0.5542553659135369
2023-10-05,0.5532660851060026
2023-10-06,0.5546076813176146
2023-10-09,0.5562235022016858
2023-10-10,0.5517838843348141
2023-10-11,0.5554287228436761
2023-10-12,0.5554721472264765
2023-10-13,0.5459316727111534
2023-10-16,0.5441986927265628
2023-10-17,0.546628800615231
2023-10-18,0.5501318316515814
2023-10-19,0.5533649281577939
2023-10-20,0.5571854937201581
2023-10-23,0.5557875038002583
2023-10-24,0.5473593329301124
2023-10-25,0.5522998323579624
2023-10-26,0.545251031038843
2023-10-27,0.5475958328832425
2023-10-30,0.5430228093538355
2023-10-31,0.5501308839624396
2023-11-01,0.5488472403183807
2023-11-02,0.5347404598849681
2023-11-03,0.538260180928584
2023-11-06,0.5535218714960273
2023-11-07,0.5555588418449897
2023-11-08,0.5576138398502787
2023-11-09,0.5540962739203384
2023-11-10,0.5493030986699409
2023-11-13,0.5560090784452721
2023-11-14,0.5392849389970089
