Method,Total_Return,Annual_Return,Volatility,Sharpe_Ratio,Max_Drawdown,VaR95%,CVaR95%,Calmar_Ratio
equal_weight,2.086824787187352,0.16259962938537925,0.2717246831000852,0.5247945374651706,0.47856215003027924,0.024436814828278197,0.038624806498542504,0.3397670070127597
simple_rf_enhanced,2.106983395606542,0.16350032752751764,0.27236013145814436,0.526877141523081,0.4805617169877882,0.024432680296172182,0.03867417054469665,0.3402275332133301
rf_momentum,2.2250286486386917,0.16885506111787343,0.27689045608058177,0.5375954925458069,0.4868708052103103,0.024258108983781557,0.0388291392405224,0.34681697754486274
