Date,JPM
2023-03-08,0.5395063141990178
2023-03-09,0.5860054934817361
2023-03-10,0.6001402365617782
2023-03-13,0.5867121506278618
2023-03-14,0.5807482088088247
2023-03-15,0.5668633587064443
2023-03-16,0.5810416121623083
2023-03-17,0.5535989818515448
2023-03-20,0.5783300756092781
2023-03-21,0.5667263321965107
2023-03-22,0.5793414068442796
2023-03-23,0.6071756385278204
2023-03-24,0.5597651240403053
2023-03-27,0.5797630872016465
2023-03-28,0.5470677927856279
2023-03-29,0.5705357329666255
2023-03-30,0.5847022980236097
2023-03-31,0.5658241352908919
2023-04-03,0.5589199855639926
2023-04-04,0.5547708696798229
2023-04-05,0.5525746124234803
2023-04-06,0.5517339526986084
2023-04-10,0.5431822626221976
2023-04-11,0.5445353723024612
2023-04-12,0.5666179914333629
2023-04-13,0.5875709683583787
2023-04-14,0.5340497848367928
2023-04-17,0.5993181805817573
2023-04-18,0.5534300162111808
2023-04-19,0.5420308640824737
2023-04-20,0.5545603580295438
2023-04-21,0.5644783223607656
2023-04-24,0.5684364752084218
2023-04-25,0.5552992889800032
2023-04-26,0.5673065282363202
2023-04-27,0.5751170019141741
2023-04-28,0.5655098781571339
2023-05-01,0.5774022233565868
2023-05-02,0.5507922130173125
2023-05-03,0.5680999994249415
2023-05-04,0.5492940169978149
2023-05-05,0.5971320098406644
2023-05-08,0.5614987294646447
2023-05-09,0.567745331585466
2023-05-10,0.5702464750913219
2023-05-11,0.5584214501342498
2023-05-12,0.5731712890508421
2023-05-15,0.5388937459397187
2023-05-16,0.5788744721240643
2023-05-17,0.5789465645813338
2023-05-18,0.5266558924779069
2023-05-19,0.5815616111222973
2023-05-22,0.5781011323983909
2023-05-23,0.5517756887542647
2023-05-24,0.5623252056306689
2023-05-25,0.5240015123785883
2023-05-26,0.579696331059155
2023-05-30,0.5422763438598618
2023-05-31,0.5541400875782212
2023-06-01,0.5713584101976942
2023-06-02,0.565918776769249
2023-06-05,0.5428793608292007
2023-06-06,0.5959247124011077
2023-06-07,0.5598903748862886
2023-06-08,0.5762876053690874
2023-06-09,0.5367666673486222
2023-06-12,0.5712074461239988
2023-06-13,0.5613201649833436
2023-06-14,0.566186711325947
2023-06-15,0.5524627816769542
2023-06-16,0.5722924439500311
2023-06-20,0.5793440343190693
2023-06-21,0.5587433883871133
2023-06-22,0.5834124359864493
2023-06-23,0.5718319598792906
2023-06-26,0.5473714762638641
2023-06-27,0.5484966021668867
2023-06-28,0.5352326939017104
2023-06-29,0.5778919275668845
2023-06-30,0.5568007533790306
2023-07-03,0.5433922037545157
2023-07-05,0.5812577650070155
2023-07-06,0.5821232707435339
2023-07-07,0.5291334442960874
2023-07-10,0.5278270967107695
2023-07-11,0.604474273247562
2023-07-12,0.5554611067005356
2023-07-13,0.5455310890789807
2023-07-14,0.60064287715103
2023-07-17,0.596294161862715
2023-07-18,0.5642715525468446
2023-07-19,0.5579465928621077
2023-07-20,0.5314639889115836
2023-07-21,0.5507624342074827
2023-07-24,0.5604484431894253
2023-07-25,0.5288585388552423
2023-07-26,0.5725494691190924
2023-07-27,0.5554822275324643
2023-07-28,0.540761576490912
2023-07-31,0.5754162692761821
2023-08-01,0.5678817426818057
2023-08-02,0.5308415833767404
2023-08-03,0.5612237395094727
2023-08-04,0.5478433499426598
2023-08-07,0.5350587193465146
2023-08-08,0.577514214925665
2023-08-09,0.5562324342955908
2023-08-10,0.5557709102814877
2023-08-11,0.5464539741930133
2023-08-14,0.587360965018801
2023-08-15,0.5575000257994654
2023-08-16,0.5545252598452067
2023-08-17,0.5677671928905563
2023-08-18,0.5621744558450397
2023-08-21,0.5623273764579556
2023-08-22,0.5985932579804126
2023-08-23,0.5394639934328104
2023-08-24,0.5529476380533277
2023-08-25,0.5572280676808344
2023-08-28,0.5597947558830488
2023-08-29,0.5601562453875407
2023-08-30,0.5593618043152518
2023-08-31,0.5574735109909562
2023-09-01,0.5296275584639295
2023-09-05,0.5539982113780888
2023-09-06,0.5678381182817427
2023-09-07,0.564833034757478
2023-09-08,0.5513124192290254
2023-09-11,0.5554682553479244
2023-09-12,0.5738749531636881
2023-09-13,0.5551918361353728
2023-09-14,0.580385605581505
2023-09-15,0.5598446083213596
2023-09-18,0.5898232704587253
2023-09-19,0.5704157425770537
2023-09-20,0.5673978275228675
2023-09-21,0.5786067088081406
2023-09-22,0.5651742034586897
2023-09-25,0.5715097246196273
2023-09-26,0.5572277190999012
2023-09-27,0.5449640546857769
2023-09-28,0.5486416499236523
2023-09-29,0.5375191512427063
2023-10-02,0.5619199014659352
2023-10-03,0.561089127685035
2023-10-04,0.5737497895851557
2023-10-05,0.5830907415309917
2023-10-06,0.5679841261158463
2023-10-09,0.5536807429839912
2023-10-10,0.5573368047931527
2023-10-11,0.5559587073667119
2023-10-12,0.5782517862903789
2023-10-13,0.5883449657984606
2023-10-16,0.5507703514789838
2023-10-17,0.5721390597131034
2023-10-18,0.551804405201837
2023-10-19,0.5483670359031435
2023-10-20,0.5667308668356351
2023-10-23,0.6076184668844833
2023-10-24,0.5501594068680157
2023-10-25,0.5776114597319156
2023-10-26,0.5330624863354761
2023-10-27,0.49700601391472055
2023-10-30,0.5540139356047803
2023-10-31,0.563821707663211
2023-11-01,0.5598456652030649
2023-11-02,0.5709094548299775
2023-11-03,0.5598000305705007
2023-11-06,0.5687606020421372
2023-11-07,0.5787731530733055
2023-11-08,0.5637270762630794
2023-11-09,0.5443864361584007
2023-11-10,0.5654770970691714
2023-11-13,0.5609597014903603
2023-11-14,0.601029810522531
