Date,AXP
2023-03-08,0.5868644330525878
2023-03-09,0.6504390304679487
2023-03-10,0.615346126304187
2023-03-13,0.6346549527849581
2023-03-14,0.6153086530847489
2023-03-15,0.6026516998752504
2023-03-16,0.547849965013812
2023-03-17,0.6165349668082063
2023-03-20,0.587718832478154
2023-03-21,0.5740631344705666
2023-03-22,0.6432113513089545
2023-03-23,0.6262349353771203
2023-03-24,0.5996009630679321
2023-03-27,0.5890990445034836
2023-03-28,0.5821865665995878
2023-03-29,0.5780117298679793
2023-03-30,0.6151261478455043
2023-03-31,0.602171679774112
2023-04-03,0.5666605682673288
2023-04-04,0.58954502336362
2023-04-05,0.5659909018516113
2023-04-06,0.5991717685897494
2023-04-10,0.58906588490587
2023-04-11,0.5942849281315418
2023-04-12,0.5812140725206704
2023-04-13,0.5806731159839303
2023-04-14,0.5814162910404708
2023-04-17,0.605913429223231
2023-04-18,0.5691118269513512
2023-04-19,0.5514485568007788
2023-04-20,0.5793286352372512
2023-04-21,0.6081113581071093
2023-04-24,0.5782941229207261
2023-04-25,0.5920865218876626
2023-04-26,0.5828081636702374
2023-04-27,0.5783172991652797
2023-04-28,0.5657870939789164
2023-05-01,0.587897162477323
2023-05-02,0.6075835579379212
2023-05-03,0.5858411057167668
2023-05-04,0.598820795543758
2023-05-05,0.599562748492753
2023-05-08,0.5727786853560041
2023-05-09,0.5825015541248062
2023-05-10,0.5799771193052311
2023-05-11,0.5945448434418451
2023-05-12,0.5931736945285327
2023-05-15,0.6252885945787827
2023-05-16,0.5879766699214071
2023-05-17,0.6076965884479066
2023-05-18,0.5720720257234898
2023-05-19,0.5836336986329075
2023-05-22,0.5779564450519085
2023-05-23,0.6029965836934054
2023-05-24,0.5864661829771948
2023-05-25,0.5976584075563964
2023-05-26,0.5867809176115965
2023-05-30,0.5840469863872039
2023-05-31,0.5752971127322938
2023-06-01,0.5734808527010203
2023-06-02,0.5862318368007324
2023-06-05,0.5779582174893498
2023-06-06,0.5983765284402355
2023-06-07,0.6001917917622418
2023-06-08,0.5743589641612971
2023-06-09,0.5836085317931454
2023-06-12,0.59714864982803
2023-06-13,0.602970975190592
2023-06-14,0.5898681823104716
2023-06-15,0.5814098950447858
2023-06-16,0.5618732578653011
2023-06-20,0.579058442873241
2023-06-21,0.5782115648448664
2023-06-22,0.5736529801730118
2023-06-23,0.5972084283782939
2023-06-26,0.5905585722322394
2023-06-27,0.5914077817816695
2023-06-28,0.5854353927366079
2023-06-29,0.6032629461666025
2023-06-30,0.5675799159560596
2023-07-03,0.5804130403536059
2023-07-05,0.5768873629727729
2023-07-06,0.5809325503463416
2023-07-07,0.5739534993690204
2023-07-10,0.5994907697011995
2023-07-11,0.6033206781545478
2023-07-12,0.6002204560269726
2023-07-13,0.6002580842396658
2023-07-14,0.6055718992756796
2023-07-17,0.594402683316355
2023-07-18,0.5729744893708734
2023-07-19,0.5847421455544156
2023-07-20,0.5722391994501627
2023-07-21,0.6003617051134108
2023-07-24,0.6009019591325865
2023-07-25,0.5627589234920021
2023-07-26,0.560155710996022
2023-07-27,0.5659698406014481
2023-07-28,0.5546264711159199
2023-07-31,0.5892697648421067
2023-08-01,0.5735898891370684
2023-08-02,0.5596234180832576
2023-08-03,0.6051173758917835
2023-08-04,0.5867135017122843
2023-08-07,0.5839362711877206
2023-08-08,0.5932279174400139
2023-08-09,0.5861503825294281
2023-08-10,0.5760349924232546
2023-08-11,0.5821006463070565
2023-08-14,0.5838806354224143
2023-08-15,0.5907965761919087
2023-08-16,0.5651123913815428
2023-08-17,0.5763046977281129
2023-08-18,0.5774478923356104
2023-08-21,0.5724029915764728
2023-08-22,0.6140994384286956
2023-08-23,0.5775905318382154
2023-08-24,0.5866874715225846
2023-08-25,0.5855686116734032
2023-08-28,0.6074855145302002
2023-08-29,0.5733172023692479
2023-08-30,0.5798865792870558
2023-08-31,0.5796885542068463
2023-09-01,0.5883677666944528
2023-09-05,0.5710862313610734
2023-09-06,0.5701024697351884
2023-09-07,0.5740969823198615
2023-09-08,0.6050103739598329
2023-09-11,0.5820494962603574
2023-09-12,0.5909989923991519
2023-09-13,0.5770843765517369
2023-09-14,0.5666176922615427
2023-09-15,0.5783029172564412
2023-09-18,0.5866685718139736
2023-09-19,0.5934517896780872
2023-09-20,0.5820357394165572
2023-09-21,0.576100762800793
2023-09-22,0.5803541135432435
2023-09-25,0.5636407541644924
2023-09-26,0.5801357156389759
2023-09-27,0.5702694503213422
2023-09-28,0.5988983619176418
2023-09-29,0.5956368131551611
2023-10-02,0.5860495336992187
2023-10-03,0.5888572222139224
2023-10-04,0.5712577006998404
2023-10-05,0.5757048746168737
2023-10-06,0.5963110973477049
2023-10-09,0.5876886662848738
2023-10-10,0.5864644000091612
2023-10-11,0.5784627495894195
2023-10-12,0.5923211891626233
2023-10-13,0.5879329748428987
2023-10-16,0.5946596203378829
2023-10-17,0.5672199161952313
2023-10-18,0.573549022654225
2023-10-19,0.5886645486358076
2023-10-20,0.611732110613327
2023-10-23,0.5893224402163124
2023-10-24,0.5726727613192871
2023-10-25,0.5752801925893213
2023-10-26,0.6008813243686996
2023-10-27,0.6053720914039773
2023-10-30,0.6023158331720339
2023-10-31,0.5963631087535488
2023-11-01,0.5671043068347833
2023-11-02,0.5933496920220119
2023-11-03,0.5826468009029071
2023-11-06,0.5802331758696581
2023-11-07,0.5914650979714474
2023-11-08,0.583557274372538
2023-11-09,0.5715582308526477
2023-11-10,0.584161623069761
2023-11-13,0.5821806970351469
2023-11-14,0.6016269200132752
