Date,USB
2023-03-08,0.5483493912001318
2023-03-09,0.5351632888102626
2023-03-10,0.5419038358057726
2023-03-13,0.5329481404084425
2023-03-14,0.5686195117258253
2023-03-15,0.541454733631614
2023-03-16,0.5266397953779011
2023-03-17,0.5222971686121717
2023-03-20,0.5612182278883976
2023-03-21,0.5517398839601863
2023-03-22,0.522383085044536
2023-03-23,0.5836659781679245
2023-03-24,0.521463384766652
2023-03-27,0.5650181560305829
2023-03-28,0.5389734636364266
2023-03-29,0.5072564955065162
2023-03-30,0.5420688074128402
2023-03-31,0.5528012470494673
2023-04-03,0.5189421553097808
2023-04-04,0.5383546004174643
2023-04-05,0.5645953111698258
2023-04-06,0.5289074213440407
2023-04-10,0.5525560621698596
2023-04-11,0.5213490663763047
2023-04-12,0.5428151976390841
2023-04-13,0.541184456954042
2023-04-14,0.5495076205411115
2023-04-17,0.5006905489447705
2023-04-18,0.5055506093576655
2023-04-19,0.5272925503039726
2023-04-20,0.5212671108344643
2023-04-21,0.5230304177459901
2023-04-24,0.5628954165090229
2023-04-25,0.5179991526498597
2023-04-26,0.5323403942890956
2023-04-27,0.5377236879021384
2023-04-28,0.5313638695866727
2023-05-01,0.5370598437504547
2023-05-02,0.539163926871034
2023-05-03,0.5110826875485502
2023-05-04,0.5181312709003548
2023-05-05,0.5351078140933151
2023-05-08,0.5270771640276616
2023-05-09,0.5525673143557935
2023-05-10,0.5347451588338953
2023-05-11,0.5275812302003109
2023-05-12,0.5625554223582343
2023-05-15,0.5034431335265651
2023-05-16,0.5218132074721032
2023-05-17,0.5433613576169247
2023-05-18,0.5386656737868075
2023-05-19,0.5464254524063054
2023-05-22,0.501990155730827
2023-05-23,0.5477937366575928
2023-05-24,0.5387246229861251
2023-05-25,0.5555057280985117
2023-05-26,0.55370547633938
2023-05-30,0.5556902466689699
2023-05-31,0.5261925424173888
2023-06-01,0.5245942695236332
2023-06-02,0.5248664323399455
2023-06-05,0.5321385738859384
2023-06-06,0.5208383418280423
2023-06-07,0.5454748794549625
2023-06-08,0.5521834634502616
2023-06-09,0.5287193096038157
2023-06-12,0.5536476233712547
2023-06-13,0.5487310896829539
2023-06-14,0.5403676013221518
2023-06-15,0.5400447904964145
2023-06-16,0.5448991661464148
2023-06-20,0.5625022367050176
2023-06-21,0.5396591359778226
2023-06-22,0.5096441452919733
2023-06-23,0.546690146612784
2023-06-26,0.5435949180282076
2023-06-27,0.5520517413941223
2023-06-28,0.5530543155786244
2023-06-29,0.5308920644385094
2023-06-30,0.5515591625387787
2023-07-03,0.5342702354896937
2023-07-05,0.5474151817454335
2023-07-06,0.5420439933100623
2023-07-07,0.5389778911398839
2023-07-10,0.5610597508507039
2023-07-11,0.5487760352436576
2023-07-12,0.553767819332125
2023-07-13,0.5474891833476124
2023-07-14,0.5305699339313854
2023-07-17,0.5571987416826278
2023-07-18,0.5245542756508677
2023-07-19,0.5468457445782414
2023-07-20,0.5311996916750021
2023-07-21,0.5453793929180174
2023-07-24,0.5513592320568869
2023-07-25,0.5217026078229425
2023-07-26,0.5048058620528543
2023-07-27,0.515457077556099
2023-07-28,0.5425056721954448
2023-07-31,0.5743351623289552
2023-08-01,0.5439074757664445
2023-08-02,0.5559374969705876
2023-08-03,0.5674343260763086
2023-08-04,0.5534021186266473
2023-08-07,0.5475484052787439
2023-08-08,0.5520802521049787
2023-08-09,0.532748352779088
2023-08-10,0.5429311300523452
2023-08-11,0.5464957909914068
2023-08-14,0.5311991561014091
2023-08-15,0.508879791750627
2023-08-16,0.5241612972362258
2023-08-17,0.5475989294503246
2023-08-18,0.5518781914360641
2023-08-21,0.5392877831002999
2023-08-22,0.5391903484372104
2023-08-23,0.552640939121194
2023-08-24,0.5333573169735936
2023-08-25,0.5458082879212353
2023-08-28,0.5671733545063216
2023-08-29,0.5407765002320025
2023-08-30,0.5637534848735498
2023-08-31,0.5452679794555727
2023-09-01,0.5360273339302479
2023-09-05,0.538920801842352
2023-09-06,0.5295577528276724
2023-09-07,0.532726503653418
2023-09-08,0.5711064260866062
2023-09-11,0.5607636268010276
2023-09-12,0.49459403193988855
2023-09-13,0.5281466943562556
2023-09-14,0.5315007052788393
2023-09-15,0.5371379335997787
2023-09-18,0.5273524234360929
2023-09-19,0.5468020380576967
2023-09-20,0.5480445493952135
2023-09-21,0.543773516537935
2023-09-22,0.5465527963731254
2023-09-25,0.5688709386201825
2023-09-26,0.5381488511269309
2023-09-27,0.5328125105183544
2023-09-28,0.5487716114649529
2023-09-29,0.5439168384478023
2023-10-02,0.5262548600523542
2023-10-03,0.5399804877903102
2023-10-04,0.5579144729743201
2023-10-05,0.5499900962681589
2023-10-06,0.5465667864501185
2023-10-09,0.5538914696444333
2023-10-10,0.5454478159094365
2023-10-11,0.5519020827637395
2023-10-12,0.5344933623983881
2023-10-13,0.5286602172179004
2023-10-16,0.5612231958544637
2023-10-17,0.5595093783915012
2023-10-18,0.5157293281426093
2023-10-19,0.544353570781923
2023-10-20,0.5121466964919689
2023-10-23,0.5641110248466852
2023-10-24,0.5353094877516146
2023-10-25,0.5432442476219945
2023-10-26,0.5190387595473066
2023-10-27,0.5039668355775079
2023-10-30,0.5165877805409766
2023-10-31,0.5605107023862551
2023-11-01,0.5240763390525552
2023-11-02,0.5240825005158701
2023-11-03,0.5038157881003472
2023-11-06,0.5385844831738251
2023-11-07,0.534888962140499
2023-11-08,0.5344767919974655
2023-11-09,0.5352707416931737
2023-11-10,0.565249585140209
2023-11-13,0.553969870733875
2023-11-14,0.532254601910301
