Method,Total_Return,Annual_Return,Volatility,Sharpe_Ratio,Max_Drawdown,VaR95%,CVaR95%,Calmar_Ratio
equal_weight,2.086824787187352,0.16259962938537925,0.2717246831000852,0.5247945374651706,0.47856215003027924,0.024436814828278197,0.038624806498542504,0.3397670070127597
simple_xgb_enhanced,2.086824787187354,0.16259962938537895,0.27172468310008524,0.5247945374651694,0.47856215003027935,0.024436814828278197,0.03862480649854253,0.33976700701275897
xgb_momentum,1.922402599241011,0.15690751688719426,0.27322240714527973,0.5010845132273388,0.491730651769082,0.024489545096539334,0.038889994552212453,0.3190924062242076
xgb_risk_parity,2.0313052931351274,0.15967439605262726,0.26834692583908043,0.5204993335246396,0.4773702743396819,0.024615318286745902,0.03822852111026025,0.3344875134370179
