Date,BK
2023-03-08,0.5319871836007479
2023-03-09,0.5603994378844678
2023-03-10,0.5317232495611239
2023-03-13,0.5378492222889003
2023-03-14,0.5285474341970849
2023-03-15,0.5608580261351247
2023-03-16,0.5250463137419864
2023-03-17,0.5656377863761486
2023-03-20,0.5292694918140123
2023-03-21,0.5483094100000065
2023-03-22,0.5573581498380453
2023-03-23,0.5523902243716816
2023-03-24,0.5425614759306828
2023-03-27,0.5496226057197499
2023-03-28,0.5447402215039159
2023-03-29,0.5279656454907542
2023-03-30,0.5659613860560977
2023-03-31,0.5395910215601912
2023-04-03,0.5381103249352787
2023-04-04,0.5301361007488095
2023-04-05,0.5368369504890047
2023-04-06,0.5452929839483017
2023-04-10,0.549155509120333
2023-04-11,0.5456742370811803
2023-04-12,0.5391290876107285
2023-04-13,0.5430126719970286
2023-04-14,0.5355545645574785
2023-04-17,0.5423528756870949
2023-04-18,0.5396707883024189
2023-04-19,0.5246260783489913
2023-04-20,0.5305216023744764
2023-04-21,0.5433267909047482
2023-04-24,0.5430670774727233
2023-04-25,0.5273830952326976
2023-04-26,0.5515244101464304
2023-04-27,0.5225457489887763
2023-04-28,0.5370243662569969
2023-05-01,0.5368735564762667
2023-05-02,0.5170159728518735
2023-05-03,0.5411856995144654
2023-05-04,0.5146216605690535
2023-05-05,0.5404548418378726
2023-05-08,0.5450026539793917
2023-05-09,0.5602337531615346
2023-05-10,0.5361782091706421
2023-05-11,0.5266681658860067
2023-05-12,0.5496336774192097
2023-05-15,0.5078411510741884
2023-05-16,0.5281645666890481
2023-05-17,0.5354398471297265
2023-05-18,0.5569589470650738
2023-05-19,0.5301330499745033
2023-05-22,0.5250571497312914
2023-05-23,0.5631017020224593
2023-05-24,0.5419793098586081
2023-05-25,0.5310815190902872
2023-05-26,0.5316717192428758
2023-05-30,0.5485083405722957
2023-05-31,0.5395910060666943
2023-06-01,0.537609339254199
2023-06-02,0.5476590438239781
2023-06-05,0.5358297747388266
2023-06-06,0.5243304710840592
2023-06-07,0.5534908484794152
2023-06-08,0.5566276226009911
2023-06-09,0.5694003718202368
2023-06-12,0.5346517320501225
2023-06-13,0.5333199980651259
2023-06-14,0.5442468124992398
2023-06-15,0.5200875138844553
2023-06-16,0.5188023421519544
2023-06-20,0.5690570576557957
2023-06-21,0.5608768682748786
2023-06-22,0.5143731053088255
2023-06-23,0.5371645725642847
2023-06-26,0.5370046167954904
2023-06-27,0.5356649627224278
2023-06-28,0.5309530790014143
2023-06-29,0.5291436450842065
2023-06-30,0.5384281690311877
2023-07-03,0.5394491300090803
2023-07-05,0.5507144572014714
2023-07-06,0.5208117559273217
2023-07-07,0.5319742534465498
2023-07-10,0.5207774289721877
2023-07-11,0.5592330182195654
2023-07-12,0.5585845520011418
2023-07-13,0.5227621877414009
2023-07-14,0.5712023139847603
2023-07-17,0.5530536677028307
2023-07-18,0.5246522510606273
2023-07-19,0.5391632227670341
2023-07-20,0.539175452210939
2023-07-21,0.5275337424944847
2023-07-24,0.5341264226167831
2023-07-25,0.5417584188884831
2023-07-26,0.5195186792665485
2023-07-27,0.5258244126255517
2023-07-28,0.5195343595595374
2023-07-31,0.5462910356407269
2023-08-01,0.5355009911723579
2023-08-02,0.5399633093860137
2023-08-03,0.530930151119429
2023-08-04,0.5579128597500668
2023-08-07,0.5579078131657497
2023-08-08,0.572531837482464
2023-08-09,0.543723138065829
2023-08-10,0.5629705229284151
2023-08-11,0.5448431979417525
2023-08-14,0.5334081271855431
2023-08-15,0.5451442583302304
2023-08-16,0.5196978421790529
2023-08-17,0.5651606615603563
2023-08-18,0.5683986437520075
2023-08-21,0.5370325220912613
2023-08-22,0.5460634535342573
2023-08-23,0.5354330251633623
2023-08-24,0.5581748710068719
2023-08-25,0.5492310003856615
2023-08-28,0.5319748131407822
2023-08-29,0.5432185295945603
2023-08-30,0.5514964643591872
2023-08-31,0.5674064633928939
2023-09-01,0.5300608804926412
2023-09-05,0.5498363800571483
2023-09-06,0.5601659018262806
2023-09-07,0.5257095144883034
2023-09-08,0.5322897888930065
2023-09-11,0.5672954282824617
2023-09-12,0.5672280537299588
2023-09-13,0.5432488648885013
2023-09-14,0.5305666115189528
2023-09-15,0.5333622898220608
2023-09-18,0.536769711949384
2023-09-19,0.5522438190916813
2023-09-20,0.5437620538244669
2023-09-21,0.5450101645681097
2023-09-22,0.5483138653495775
2023-09-25,0.5447521893570098
2023-09-26,0.5386762364194885
2023-09-27,0.5349479422262742
2023-09-28,0.5232793904553126
2023-09-29,0.5453174516721303
2023-10-02,0.5187397473302173
2023-10-03,0.5233991233165064
2023-10-04,0.5406606349079045
2023-10-05,0.5396876010218188
2023-10-06,0.536142506822653
2023-10-09,0.5436690507585077
2023-10-10,0.5222897502880839
2023-10-11,0.5545708788192129
2023-10-12,0.5495147079417962
2023-10-13,0.5386398077715308
2023-10-16,0.5228414055643156
2023-10-17,0.5367889329389404
2023-10-18,0.518035346469793
2023-10-19,0.5193033406086681
2023-10-20,0.529760640375445
2023-10-23,0.5428898236747227
2023-10-24,0.5557217634467226
2023-10-25,0.5576392198096288
2023-10-26,0.5143182759122876
2023-10-27,0.5305227398036632
2023-10-30,0.5333646448067365
2023-10-31,0.5225259374885719
2023-11-01,0.5314039171334163
2023-11-02,0.5299038686871823
2023-11-03,0.5290832769339436
2023-11-06,0.5617651653199119
2023-11-07,0.5247123237726158
2023-11-08,0.5636136443241361
2023-11-09,0.535964201873657
2023-11-10,0.5460552512363709
2023-11-13,0.5406054742047582
2023-11-14,0.5250661600079035
