Method,Total_Return,Annual_Return,Volatility,Sharpe_Ratio,Max_Drawdown,VaR95%,CVaR95%,Calmar_Ratio
equal_weight,2.086824787187352,0.16259962938537925,0.2717246831000852,0.5247945374651706,0.47856215003027924,0.024436814828278197,0.038624806498542504,0.3397670070127597
simple_xgb_enhanced,2.096515200382798,0.16316588936269058,0.27253994647587054,0.5253024050746479,0.4784096057905145,0.024827066158867428,0.038748310226812625,0.341058974125485
xgb_momentum,1.9253791330195411,0.15702879156883537,0.27327136354219,0.5014385327194362,0.48312503867367873,0.02475632824207008,0.03886887770605617,0.32502722690574243
xgb_risk_parity,2.066958537609629,0.1616254578442027,0.27078695781958617,0.5230143245619744,0.4777155142476943,0.02484087729924067,0.03854928060828948,0.3383299328235765
