Date,PNC
2023-03-08,0.5740496318460037
2023-03-09,0.5338176375819043
2023-03-10,0.5260208077824675
2023-03-13,0.546117894806189
2023-03-14,0.57685471614001
2023-03-15,0.5530502159159815
2023-03-16,0.5173696964059475
2023-03-17,0.5430372941427531
2023-03-20,0.5532425710404959
2023-03-21,0.5808706640601553
2023-03-22,0.5466176684676013
2023-03-23,0.5620110532119296
2023-03-24,0.5474931151446224
2023-03-27,0.5475103427006422
2023-03-28,0.5663039499136121
2023-03-29,0.5525691743507886
2023-03-30,0.5574506279844708
2023-03-31,0.5580391177032973
2023-04-03,0.5156361775191277
2023-04-04,0.5664262498808712
2023-04-05,0.5457181889726809
2023-04-06,0.5350267389052568
2023-04-10,0.5659735800779971
2023-04-11,0.5439776550305001
2023-04-12,0.5428124952111048
2023-04-13,0.5604773336376924
2023-04-14,0.5026800141415908
2023-04-17,0.5408284061725639
2023-04-18,0.5207086598831742
2023-04-19,0.5446310837878516
2023-04-20,0.5378309961287256
2023-04-21,0.559211473612892
2023-04-24,0.564280017819928
2023-04-25,0.5743693446339404
2023-04-26,0.5601812858596397
2023-04-27,0.5740474306483273
2023-04-28,0.5456234852478598
2023-05-01,0.5198634895450042
2023-05-02,0.5508448632146676
2023-05-03,0.5704948184576474
2023-05-04,0.5573335787337798
2023-05-05,0.567004794155549
2023-05-08,0.5608525222544601
2023-05-09,0.5720056049025602
2023-05-10,0.534253705342285
2023-05-11,0.5587187886494368
2023-05-12,0.5880648232269398
2023-05-15,0.5364149311237981
2023-05-16,0.5554454082198164
2023-05-17,0.5725493202321917
2023-05-18,0.5479457988364534
2023-05-19,0.5599730605582782
2023-05-22,0.5547711892491511
2023-05-23,0.5687389003516099
2023-05-24,0.5711182538546292
2023-05-25,0.5602560779336384
2023-05-26,0.5818869336802176
2023-05-30,0.5616987950432726
2023-05-31,0.5477103313224031
2023-06-01,0.5316787530395132
2023-06-02,0.5807193850480901
2023-06-05,0.5512153282023672
2023-06-06,0.5579036535471228
2023-06-07,0.5569860425913934
2023-06-08,0.5402736947774832
2023-06-09,0.5593741182664633
2023-06-12,0.5651231800540213
2023-06-13,0.5567200783539823
2023-06-14,0.5574082869293214
2023-06-15,0.5411174050411507
2023-06-16,0.5118562343998923
2023-06-20,0.5732043877368178
2023-06-21,0.5586794697624409
2023-06-22,0.5654128499718946
2023-06-23,0.578081588686362
2023-06-26,0.5543585569455901
2023-06-27,0.5641581693574254
2023-06-28,0.5665998654960824
2023-06-29,0.5617833893116049
2023-06-30,0.503484829682509
2023-07-03,0.5548085154590067
2023-07-05,0.559381638490898
2023-07-06,0.5416342288594408
2023-07-07,0.5391461466182662
2023-07-10,0.5257613781925411
2023-07-11,0.552437526383571
2023-07-12,0.5777716263605224
2023-07-13,0.5474584802542695
2023-07-14,0.5524755641499054
2023-07-17,0.5192929991786438
2023-07-18,0.5454634582147144
2023-07-19,0.5509793896674727
2023-07-20,0.5183539591904113
2023-07-21,0.5539193859431212
2023-07-24,0.5269189985788367
2023-07-25,0.5599781163942009
2023-07-26,0.5407311745535478
2023-07-27,0.5184828804933725
2023-07-28,0.5340417023939545
2023-07-31,0.5549294373586304
2023-08-01,0.5791750196594309
2023-08-02,0.5194450316572411
2023-08-03,0.5605217015828163
2023-08-04,0.563859730158026
2023-08-07,0.5401109191326693
2023-08-08,0.5663472246370523
2023-08-09,0.5313370852631375
2023-08-10,0.5534994098132114
2023-08-11,0.5563920661950442
2023-08-14,0.5600475871930717
2023-08-15,0.5690407553199334
2023-08-16,0.5354237154777532
2023-08-17,0.576278137643564
2023-08-18,0.5596885775559889
2023-08-21,0.5522225736567655
2023-08-22,0.560891893860301
2023-08-23,0.5577456733848977
2023-08-24,0.5633981740305972
2023-08-25,0.5700420184255556
2023-08-28,0.5691404342366215
2023-08-29,0.5617564351880414
2023-08-30,0.5819646333957492
2023-08-31,0.5626584092666246
2023-09-01,0.5375018280698519
2023-09-05,0.5489025343048971
2023-09-06,0.5545466026074894
2023-09-07,0.536219209404443
2023-09-08,0.5685789803030722
2023-09-11,0.5535935235968102
2023-09-12,0.5367861714677561
2023-09-13,0.5685604064616628
2023-09-14,0.5420659210273655
2023-09-15,0.5591968778791406
2023-09-18,0.5325846688676952
2023-09-19,0.5657725205688395
2023-09-20,0.5721558821345077
2023-09-21,0.5581945798672635
2023-09-22,0.5701834844103971
2023-09-25,0.5765030267769446
2023-09-26,0.5611555763591002
2023-09-27,0.5221365998724559
2023-09-28,0.5462810792845244
2023-09-29,0.5556519859621315
2023-10-02,0.5443076616677315
2023-10-03,0.555870931228316
2023-10-04,0.5561381020355102
2023-10-05,0.5500670365076582
2023-10-06,0.5526678291068515
2023-10-09,0.5484606796313756
2023-10-10,0.5509616733477499
2023-10-11,0.5706001260899015
2023-10-12,0.5663767627316103
2023-10-13,0.5264994056136264
2023-10-16,0.5411382729166142
2023-10-17,0.5548907692225445
2023-10-18,0.5381208873868745
2023-10-19,0.5405455958062543
2023-10-20,0.5789233377496238
2023-10-23,0.5794046848532725
2023-10-24,0.5389228489768305
2023-10-25,0.5500425385765784
2023-10-26,0.5373464997043517
2023-10-27,0.5143674584695931
2023-10-30,0.5203521398852359
2023-10-31,0.5530873828823438
2023-11-01,0.5565823269797963
2023-11-02,0.5733938606960475
2023-11-03,0.5437909865501508
2023-11-06,0.5540846986557423
2023-11-07,0.556264916813605
2023-11-08,0.5693254064235483
2023-11-09,0.56693519407269
2023-11-10,0.5213473078752302
2023-11-13,0.576360194106591
2023-11-14,0.5258815101526384
