Date,WFC
2023-03-08,0.520178873166633
2023-03-09,0.51760132408642
2023-03-10,0.5239515117936101
2023-03-13,0.5205198861575332
2023-03-14,0.5211701883905145
2023-03-15,0.5264025279684296
2023-03-16,0.5265158160552557
2023-03-17,0.5230989233974229
2023-03-20,0.5158420699812786
2023-03-21,0.5245700799526516
2023-03-22,0.5191735189876071
2023-03-23,0.5228820298246362
2023-03-24,0.5281716494240104
2023-03-27,0.516940900090224
2023-03-28,0.52955536838701
2023-03-29,0.5273699291886543
2023-03-30,0.5327173131492268
2023-03-31,0.5225284142995673
2023-04-03,0.5301372892502344
2023-04-04,0.5306745459759183
2023-04-05,0.5168444923562292
2023-04-06,0.530253169302436
2023-04-10,0.5218322215193544
2023-04-11,0.519605701872222
2023-04-12,0.5166859965485687
2023-04-13,0.5291599893156738
2023-04-14,0.5316474791618088
2023-04-17,0.5222892715714508
2023-04-18,0.5336259855558546
2023-04-19,0.5281539834738744
2023-04-20,0.5254887095254793
2023-04-21,0.5223533286038805
2023-04-24,0.5260389337791115
2023-04-25,0.5260532360824387
2023-04-26,0.5282890445803908
2023-04-27,0.5261472868462556
2023-04-28,0.5253767597568175
2023-05-01,0.5276707923932338
2023-05-02,0.5156497060015651
2023-05-03,0.5218501293561053
2023-05-04,0.5226041995680587
2023-05-05,0.5201046752918118
2023-05-08,0.5325768931064072
2023-05-09,0.5215207539067978
2023-05-10,0.5286319344084683
2023-05-11,0.5304096530127991
2023-05-12,0.5281725626777011
2023-05-15,0.5360644162539864
2023-05-16,0.5219841219169262
2023-05-17,0.5284323196965787
2023-05-18,0.5308866952862812
2023-05-19,0.5220000241890038
2023-05-22,0.534903631631738
2023-05-23,0.5215710762853161
2023-05-24,0.5191821441106601
2023-05-25,0.5171610336166397
2023-05-26,0.5280185919275155
2023-05-30,0.5261667304476627
2023-05-31,0.5280718924455762
2023-06-01,0.5278505348006558
2023-06-02,0.5242360392681849
2023-06-05,0.5297579262542892
2023-06-06,0.5256333100937335
2023-06-07,0.5216139975176836
2023-06-08,0.5288362469703737
2023-06-09,0.5241121662908713
2023-06-12,0.5295804449387772
2023-06-13,0.5255068128153156
2023-06-14,0.5269217901826887
2023-06-15,0.5298429335733351
2023-06-16,0.5266535271926358
2023-06-20,0.521533052076007
2023-06-21,0.5269069222508879
2023-06-22,0.5267181390791755
2023-06-23,0.524657337968191
2023-06-26,0.520917123000307
2023-06-27,0.5360993048185753
2023-06-28,0.5241264591525748
2023-06-29,0.5224902317922001
2023-06-30,0.5344139043602532
2023-07-03,0.5268299176398858
2023-07-05,0.5262502800563645
2023-07-06,0.5297481510722732
2023-07-07,0.5357098865143569
2023-07-10,0.5280754012505272
2023-07-11,0.5171218725311406
2023-07-12,0.5218936648366013
2023-07-13,0.5292969934712054
2023-07-14,0.5151485981834264
2023-07-17,0.523045451901836
2023-07-18,0.529965307708708
2023-07-19,0.5286405438178102
2023-07-20,0.5252097634567585
2023-07-21,0.524199790612952
2023-07-24,0.5337032129225605
2023-07-25,0.5354971000551695
2023-07-26,0.5195026900970214
2023-07-27,0.5309862562106329
2023-07-28,0.5335286857897543
2023-07-31,0.5132271265292107
2023-08-01,0.5183265029605303
2023-08-02,0.5213070395279392
2023-08-03,0.5247580350163704
2023-08-04,0.5348304630197479
2023-08-07,0.5243085545537086
2023-08-08,0.5231016269013814
2023-08-09,0.5282755209824109
2023-08-10,0.5199904222141005
2023-08-11,0.5226149699386312
2023-08-14,0.5244476969189358
2023-08-15,0.5210423605020907
2023-08-16,0.5325047850706613
2023-08-17,0.5260949656567585
2023-08-18,0.5118312496730814
2023-08-21,0.5230065478276125
2023-08-22,0.515248964894712
2023-08-23,0.5256982957348422
2023-08-24,0.5274639443766396
2023-08-25,0.512201843073302
2023-08-28,0.5298220462931863
2023-08-29,0.5209958099278448
2023-08-30,0.5084544007064881
2023-08-31,0.528965981375725
2023-09-01,0.5301415538026737
2023-09-05,0.5293102620253788
2023-09-06,0.5322718839042716
2023-09-07,0.5205402372553237
2023-09-08,0.5149634617201998
2023-09-11,0.5177154729024946
2023-09-12,0.5178232681465877
2023-09-13,0.5210453404038297
2023-09-14,0.5183033723258094
2023-09-15,0.5311709588433157
2023-09-18,0.5258842712378758
2023-09-19,0.525860817900294
2023-09-20,0.5176724300107631
2023-09-21,0.5204369124375102
2023-09-22,0.524498186572035
2023-09-25,0.5162632225314788
2023-09-26,0.533652800057587
2023-09-27,0.5205845262648645
2023-09-28,0.5202300836225303
2023-09-29,0.5306776361833675
2023-10-02,0.5215078275456723
2023-10-03,0.5270033298967036
2023-10-04,0.5158338678491492
2023-10-05,0.5271526929786721
2023-10-06,0.5316684926239176
2023-10-09,0.5342002803763369
2023-10-10,0.5327488855497164
2023-10-11,0.5246090066779628
2023-10-12,0.527138096052357
2023-10-13,0.5162411269758745
2023-10-16,0.5269654278772499
2023-10-17,0.5293961267074213
2023-10-18,0.5256278317294262
2023-10-19,0.5304076542560855
2023-10-20,0.5233976141081681
2023-10-23,0.5220391323848731
2023-10-24,0.5256461757117398
2023-10-25,0.5284064338079434
2023-10-26,0.5362532383115647
2023-10-27,0.5350187593636181
2023-10-30,0.5258266902797283
2023-10-31,0.5300178800315423
2023-11-01,0.520402067105998
2023-11-02,0.5320355412551027
2023-11-03,0.5295319351474764
2023-11-06,0.5290524610089603
2023-11-07,0.5255586359234045
2023-11-08,0.5163489560878713
2023-11-09,0.5274697743719292
2023-11-10,0.5182377247148716
2023-11-13,0.5250081683122677
2023-11-14,0.5314746097772848
