Date,CB
2023-03-08,0.5407246550293217
2023-03-09,0.5390522904633149
2023-03-10,0.5514640131911008
2023-03-13,0.5624132967209748
2023-03-14,0.5147384448091245
2023-03-15,0.5461473830904873
2023-03-16,0.5056891503236544
2023-03-17,0.5642931858961914
2023-03-20,0.5219747430058983
2023-03-21,0.4906046302197414
2023-03-22,0.5491626631192016
2023-03-23,0.5248069160955867
2023-03-24,0.5557358891957963
2023-03-27,0.5125551862762084
2023-03-28,0.5454416029681393
2023-03-29,0.5105136939013417
2023-03-30,0.5280815130217356
2023-03-31,0.5185099562132294
2023-04-03,0.550973420339079
2023-04-04,0.5621619065517494
2023-04-05,0.5310681609388318
2023-04-06,0.5272739816126787
2023-04-10,0.5255275189155473
2023-04-11,0.5140577711383393
2023-04-12,0.5457250373740253
2023-04-13,0.5364564559259658
2023-04-14,0.5425820919152683
2023-04-17,0.4983384385315346
2023-04-18,0.5320671048015947
2023-04-19,0.5299692213385191
2023-04-20,0.5585332483735699
2023-04-21,0.5601274787263383
2023-04-24,0.5436028871538817
2023-04-25,0.5699451440188874
2023-04-26,0.5370854319510773
2023-04-27,0.5168402751529967
2023-04-28,0.5257821163404999
2023-05-01,0.5578108195346906
2023-05-02,0.5783338942340244
2023-05-03,0.5672013230533293
2023-05-04,0.5808891896074447
2023-05-05,0.5119398369725897
2023-05-08,0.5342975413820851
2023-05-09,0.53045237887155
2023-05-10,0.5662907070137337
2023-05-11,0.5523212909029541
2023-05-12,0.5360251205612504
2023-05-15,0.5209590590159544
2023-05-16,0.5555927919600782
2023-05-17,0.48802400683814334
2023-05-18,0.5281207268669789
2023-05-19,0.5402091243424825
2023-05-22,0.539039576616113
2023-05-23,0.541566499026758
2023-05-24,0.5526379267511315
2023-05-25,0.5355197780916314
2023-05-26,0.5316912490575946
2023-05-30,0.5294980489827953
2023-05-31,0.5695480672327372
2023-06-01,0.507342419832611
2023-06-02,0.4906046302197414
2023-06-05,0.5403766806915813
2023-06-06,0.516156707660225
2023-06-07,0.5286324422266467
2023-06-08,0.5367477753727116
2023-06-09,0.5406741900164679
2023-06-12,0.5530156649735238
2023-06-13,0.5219969736448689
2023-06-14,0.5598716937334035
2023-06-15,0.5272114625202623
2023-06-16,0.5346351820832528
2023-06-20,0.552109766323197
2023-06-21,0.5313386373756869
2023-06-22,0.5602552378839026
2023-06-23,0.5525807440481292
2023-06-26,0.5361480901734748
2023-06-27,0.5240154348506542
2023-06-28,0.5409915563911779
2023-06-29,0.5218616111381145
2023-06-30,0.5331236457616387
2023-07-03,0.5217733787570941
2023-07-05,0.5422910469389847
2023-07-06,0.5570992997733981
2023-07-07,0.5308809244377195
2023-07-10,0.5363857605861377
2023-07-11,0.5186707630481622
2023-07-12,0.5304853200742854
2023-07-13,0.5298913242754423
2023-07-14,0.5473638597580371
2023-07-17,0.5236985787586925
2023-07-18,0.5086268348490052
2023-07-19,0.522612190818381
2023-07-20,0.5480900449425209
2023-07-21,0.5447711450589731
2023-07-24,0.5187498948137977
2023-07-25,0.565437088938257
2023-07-26,0.5331769371816656
2023-07-27,0.5622370669370588
2023-07-28,0.542402603893783
2023-07-31,0.5240826614345339
2023-08-01,0.5432907832029358
2023-08-02,0.5607622115585335
2023-08-03,0.5362134239569913
2023-08-04,0.5353661951777614
2023-08-07,0.5176920992109274
2023-08-08,0.5387420551637491
2023-08-09,0.5636592806511785
2023-08-10,0.5315100906469556
2023-08-11,0.535181544631472
2023-08-14,0.5533722263781461
2023-08-15,0.5752251289924278
2023-08-16,0.544405697393802
2023-08-17,0.5356581424759083
2023-08-18,0.532577378259861
2023-08-21,0.5336352677036723
2023-08-22,0.5406594596198057
2023-08-23,0.5215924469269625
2023-08-24,0.5331354313727343
2023-08-25,0.5350077630446284
2023-08-28,0.5262704700728523
2023-08-29,0.5275650456118178
2023-08-30,0.5322717561278022
2023-08-31,0.5356682671563829
2023-09-01,0.5201642493179861
2023-09-05,0.5522823605816323
2023-09-06,0.5502259174912291
2023-09-07,0.5425280746010005
2023-09-08,0.5268814304474588
2023-09-11,0.5230737988448309
2023-09-12,0.5067422690600688
2023-09-13,0.5485829015005064
2023-09-14,0.5286756848727815
2023-09-15,0.5425205222817974
2023-09-18,0.5485026467264907
2023-09-19,0.5334186622882245
2023-09-20,0.5366856036063008
2023-09-21,0.5488033761388708
2023-09-22,0.5402231628691799
2023-09-25,0.5347971475800936
2023-09-26,0.5570499374486783
2023-09-27,0.5385548699215771
2023-09-28,0.5269934361317156
2023-09-29,0.5425182843883415
2023-10-02,0.5602673352428266
2023-10-03,0.5594464053316296
2023-10-04,0.5294822055638525
2023-10-05,0.5299959178597761
2023-10-06,0.5264474171015711
2023-10-09,0.528362739700588
2023-10-10,0.5234966165274791
2023-10-11,0.5320665883584696
2023-10-12,0.5512040643605439
2023-10-13,0.5387196940793791
2023-10-16,0.5243007077202048
2023-10-17,0.5032119846725474
2023-10-18,0.5685172518294667
2023-10-19,0.5674355297484067
2023-10-20,0.5769117051993357
2023-10-23,0.5430145043899594
2023-10-24,0.5353257816210157
2023-10-25,0.5306312509612231
2023-10-26,0.5367132594116997
2023-10-27,0.5542009385978764
2023-10-30,0.5239315827046238
2023-10-31,0.5264892097648372
2023-11-01,0.5315606587980337
2023-11-02,0.4880895786770596
2023-11-03,0.5169619634675274
2023-11-06,0.5407412179287183
2023-11-07,0.5373624022887825
2023-11-08,0.5340323003318846
2023-11-09,0.5568450845081933
2023-11-10,0.5207402585767312
2023-11-13,0.5344000189082112
2023-11-14,0.4944777061410866
