Method,Total_Return,Annual_Return,Volatility,Sharpe_Ratio,Max_Drawdown,VaR95%,CVaR95%,Calmar_Ratio
equal_weight,2.086824787187352,0.16259962938537925,0.2717246831000852,0.5247945374651706,0.47856215003027924,0.024436814828278197,0.038624806498542504,0.3397670070127597
simple_xgb_enhanced,2.0976294073301567,0.16297228612652714,0.2716591941667358,0.5262928301214621,0.4798113866890731,0.02455362989527199,0.0385796110386355,0.3396590632229749
xgb_momentum,1.9395022978572154,0.1576484112430998,0.2735455310740549,0.5032010967338206,0.48626579433393097,0.024617245207591676,0.038901876490102585,0.32420214022876276
xgb_risk_parity,2.0687908733703324,0.16143784497790079,0.26982147342158763,0.5241904700331562,0.47938949586079127,0.024463755765837703,0.03836216502909727,0.33675715962032743
