Date,AXP,BAC,BK,C,CB,COF,GS,JPM,MS,PNC,SCHW,STT,TFC,USB,WFC
2015-01-02,79.66758728027344,14.3568696975708,31.113012313842773,40.921165466308594,93.60444641113281,68.0110855102539,157.99024963378906,46.94808578491211,29.09113311767578,65.4842758178711,26.597198486328125,58.54533767700195,25.794382095336914,31.11417579650879,40.6080207824707
2015-01-05,77.56069946289062,13.939801216125488,30.313276290893555,39.63153076171875,92.07491302490234,66.44456481933594,153.05743408203125,45.49057388305664,28.181795120239258,63.479827880859375,25.708284378051758,57.57391357421875,24.980161666870117,30.364612579345703,39.494449615478516
2015-01-06,75.90772247314453,13.52272891998291,29.436626434326172,38.236328125,91.26515197753906,65.20783233642578,149.96116638183594,44.311058044433594,27.370168685913086,61.83586883544922,24.76655387878418,55.93001174926758,24.492984771728516,29.96205711364746,38.67041778564453
2015-01-07,77.56558227539062,13.586891174316406,30.044130325317383,38.59077835083008,92.565673828125,65.94987487792969,152.1959686279297,44.37866973876953,27.760957717895508,62.549686431884766,25.25062370300293,56.45307922363281,24.819995880126953,30.225801467895508,38.900569915771484
2015-01-08,78.66504669189453,13.86761474609375,30.459375381469727,39.171478271484375,94.0625,66.59294128417969,154.62583923339844,45.370357513427734,28.174299240112305,63.753787994384766,25.91071319580078,57.64863586425781,25.2337703704834,30.447898864746094,39.76171112060547
2015-01-09,77.66865539550781,13.618973731994629,30.01336097717285,38.296661376953125,92.729248046875,65.43869018554688,152.25286865234375,44.581520080566406,27.71587371826172,62.5640983581543,25.03938865661621,56.81174850463867,24.579734802246094,29.81631088256836,39.10841751098633
2015-01-12,76.87840270996094,13.378358840942383,29.582748413085938,37.99498748779297,91.60869598388672,65.18311309814453,150.3999481201172,44.19837188720703,27.33259391784668,62.124263763427734,24.79296112060547,56.318572998046875,24.352827072143555,29.538698196411133,38.64072036743164
2015-01-13,76.6464614868164,13.193883895874023,29.528915405273438,37.723487854003906,91.74774169921875,64.63069152832031,150.28619384765625,44.20586395263672,27.07708740234375,61.283172607421875,24.810564041137695,56.18406295776367,24.31278419494629,29.21943473815918,38.49224853515625
2015-01-14,74.79107666015625,12.865039825439453,28.783002853393555,36.99193572998047,89.85012817382812,63.2785758972168,146.46670532226562,42.68075180053711,26.460840225219727,60.18106460571289,23.965652465820312,54.809165954589844,23.798892974853516,28.691953659057617,38.046817779541016
2015-01-15,73.76888275146484,12.191308975219727,28.64458465576172,35.619361877441406,89.82557678222656,63.44346618652344,145.0526580810547,41.31340408325195,25.987382888793945,59.76052474975586,23.4727840423584,54.38325500488281,23.69211196899414,28.414337158203125,37.65336227416992
2015-01-16,73.90631866455078,12.335678100585938,28.806062698364258,35.905948638916016,91.4041976928711,63.19611740112305,144.0286865234375,42.01962661743164,26.22035789489746,61.22517776489258,23.67521095275879,55.04081344604492,24.039152145385742,28.816890716552734,38.33634567260742
2015-01-20,74.95427703857422,12.239433288574219,28.63689422607422,35.6419792175293,90.35725402832031,63.80623245239258,142.72840881347656,41.85434341430664,26.11514663696289,61.355709075927734,23.543188095092773,54.697078704833984,23.865633010864258,28.601730346679688,38.60361862182617
2015-01-21,75.30646514892578,12.359740257263184,28.875280380249023,36.003990173339844,90.4145278930664,63.65781784057617,143.96371459960938,41.989566802978516,26.100107192993164,61.471675872802734,23.499183654785156,55.84782028198242,23.785545349121094,29.28883171081543,38.67784118652344
2015-01-22,72.47184753417969,12.90514087677002,29.774986267089844,37.38410949707031,92.77835083007812,62.82509994506836,147.93760681152344,43.266761779785156,26.70132827758789,63.124855041503906,24.335302352905273,57.60380172729492,24.633127212524414,30.142528533935547,39.91761779785156
2015-01-23,72.26566314697266,12.616400718688965,28.37543487548828,36.66764831542969,92.3284683227539,63.9793815612793,146.67800903320312,42.58308029174805,26.41575050354004,62.55931091308594,23.930442810058594,54.09929275512695,24.573057174682617,30.066171646118164,39.539005279541016
2015-01-26,71.55272674560547,12.712648391723633,28.775312423706055,36.871273040771484,92.3448486328125,64.4657974243164,146.62107849121094,42.65070343017578,26.38569450378418,62.92184066772461,24.08006477355957,54.756874084472656,24.6865177154541,30.21192169189453,39.776573181152344
2015-01-27,70.77967834472656,12.536194801330566,28.252408981323242,36.43386459350586,91.03616333007812,63.29505920410156,143.42727661132812,42.222469329833984,26.047504425048828,61.9937629699707,23.59600067138672,54.20391082763672,24.219348907470703,29.83019256591797,39.32371139526367
2015-01-28,70.20413208007812,12.191308975219727,27.421911239624023,35.52885818481445,89.40028381347656,61.38227844238281,140.63172912597656,41.13310623168945,25.45210075378418,60.65238571166992,22.847896575927734,53.26239776611328,23.598684310913086,29.21943473815918,38.722381591796875
2015-01-29,70.43608093261719,12.37578296661377,28.021703720092773,35.921104431152344,90.07913208007812,61.80275344848633,143.02102661132812,41.82429122924805,25.904306411743164,62.02275085449219,23.16473960876465,53.65095901489258,23.80557632446289,29.545625686645508,39.167808532714844
2015-01-30,69.3108139038086,12.151205062866211,27.813108444213867,35.41572189331055,88.30426788330078,60.359928131103516,140.11166381835938,40.8551139831543,25.482236862182617,61.29767608642578,22.86549949645996,53.434268951416016,23.551963806152344,29.08755874633789,38.54422378540039
2015-02-02,70.54772186279297,12.399847030639648,28.330739974975586,35.99653625488281,89.40843200683594,61.35753631591797,142.6147003173828,41.67402648925781,25.94198989868164,62.486820220947266,23.411174774169922,54.532711029052734,23.999109268188477,29.656686782836914,39.204933166503906
