Date,AXP_Return_1D,AXP_Return_5D,AXP_Direction_1D,AXP_Direction_5D,AXP_Outperform_1D,AXP_Outperform_5D,BAC_Return_1D,BAC_Return_5D,BAC_Direction_1D,BAC_Direction_5D,BAC_Outperform_1D,BAC_Outperform_5D,BK_Return_1D,BK_Return_5D,BK_Direction_1D,BK_Direction_5D,BK_Outperform_1D,BK_Outperform_5D,C_Return_1D,C_Return_5D,C_Direction_1D,C_Direction_5D,C_Outperform_1D,C_Outperform_5D,CB_Return_1D,CB_Return_5D,CB_Direction_1D,CB_Direction_5D,CB_Outperform_1D,CB_Outperform_5D,COF_Return_1D,COF_Return_5D,COF_Direction_1D,COF_Direction_5D,COF_Outperform_1D,COF_Outperform_5D,GS_Return_1D,GS_Return_5D,GS_Direction_1D,GS_Direction_5D,GS_Outperform_1D,GS_Outperform_5D,JPM_Return_1D,JPM_Return_5D,JPM_Direction_1D,JPM_Direction_5D,JPM_Outperform_1D,JPM_Outperform_5D,MS_Return_1D,MS_Return_5D,MS_Direction_1D,MS_Direction_5D,MS_Outperform_1D,MS_Outperform_5D,PNC_Return_1D,PNC_Return_5D,PNC_Direction_1D,PNC_Direction_5D,PNC_Outperform_1D,PNC_Outperform_5D,SCHW_Return_1D,SCHW_Return_5D,SCHW_Direction_1D,SCHW_Direction_5D,SCHW_Outperform_1D,SCHW_Outperform_5D,STT_Return_1D,STT_Return_5D,STT_Direction_1D,STT_Direction_5D,STT_Outperform_1D,STT_Outperform_5D,TFC_Return_1D,TFC_Return_5D,TFC_Direction_1D,TFC_Direction_5D,TFC_Outperform_1D,TFC_Outperform_5D,USB_Return_1D,USB_Return_5D,USB_Direction_1D,USB_Direction_5D,USB_Outperform_1D,USB_Outperform_5D,WFC_Return_1D,WFC_Return_5D,WFC_Direction_1D,WFC_Direction_5D,WFC_Outperform_1D,WFC_Outperform_5D
2015-12-31,-0.0281814663005846,-0.08363040177380829,0,0,0,1,-0.0237672784612708,-0.10049432378565509,0,0,0,0,-0.0303250629979209,-0.1026704414640052,0,0,0,0,-0.0119803733553299,-0.112955646887035,0,0,1,0,-0.0267007044595625,-0.06002537303578719,0,0,0,1,-0.0199500137683273,-0.1148261907297811,0,0,1,0,-0.0171448377989681,-0.09364110175712093,0,0,1,1,-0.0300350060664221,-0.10558057255599221,0,0,0,0,-0.010374290420266,-0.11220334548513058,0,0,1,0,-0.0225582142384752,-0.07939032175884901,0,0,1,1,-0.0288488288532565,-0.12462499234391607,0,0,0,0,-0.0183847497021508,-0.12137043485512519,0,0,1,0,-0.0306801617580531,-0.0944512797946403,0,0,0,1,-0.0278881532249911,-0.07133755866676521,0,0,0,1,-0.0266740272871873,-0.0913425849940012,0,0,0,1
2016-01-04,-0.0153867002477962,-0.04884825907299289,0,0,0,1,0.0,-0.06949008566971569,0,0,1,0,-0.0037526872925397,-0.0650774754584096,0,0,0,1,-0.0052810120004707,-0.08536710522561708,0,0,0,0,0.0101114334300289,-0.03032326450544589,1,0,1,1,-0.018094413248164,-0.0866246100057577,0,0,0,0,-0.0172178352590207,-0.06557776979924772,0,0,0,1,0.0017291488950312,-0.07707285097222391,1,0,1,0,-0.0063529874640732,-0.0990102813450291,0,0,0,0,0.0013956600771112,-0.05319458173451331,1,0,1,1,-0.0031269057734178,-0.10474161726530307,0,0,1,0,0.0015350430464411,-0.1065662090034533,1,0,1,0,0.0002728573638319,-0.054457919286604685,1,0,1,1,0.0048214915632471,-0.039419201734095,1,0,1,1,-0.0003782430082726,-0.0539738412932642,0,0,1,1
2016-01-05,-0.027769623532178,-0.027996996227850596,0,0,0,1,-0.0213025412135543,-0.06949008566971569,0,0,0,0,-0.0251131949336264,-0.05330730419849069,0,0,0,1,-0.0145493867804785,-0.07944590000671628,0,0,1,0,-0.0186280882591192,-0.024023533805266586,0,0,1,1,-0.0131010384806885,-0.05247100557851939,0,0,1,1,-0.0244126942561184,-0.04848036327995872,0,0,0,1,-0.014435909052346,-0.0765925011481697,0,0,1,0,-0.0249362217332108,-0.0926572938809559,0,0,0,0,-0.0181156312972765,-0.04643409437020161,0,0,1,1,-0.034190722058742,-0.08421724992523166,0,0,0,0,-0.0332615456037965,-0.09252969500223308,0,0,0,0,-0.0139114743124598,-0.04838740402862989,0,0,1,1,-0.0151152893581788,-0.025174051233605308,0,0,1,1,-0.0190959182352978,-0.028241750434648008,0,0,1,1
2016-01-06,-0.0090030616072066,-0.024295733485409088,0,0,1,1,-0.0360695597899249,-0.07496749604490319,0,0,0,0,-0.0252446939609726,-0.06159857464646249,0,0,1,1,-0.0510776224453868,-0.1009460133515695,0,0,0,0,-0.010289187380474,-0.023593648864285086,0,0,1,1,-0.0506201859113623,-0.0721969076746426,0,0,0,0,-0.0307346571399609,-0.06462047332168462,0,0,1,1,-0.0404393325818398,-0.08963241629762371,0,0,0,0,-0.0498359635403885,-0.1228861878852417,0,0,0,0,-0.0253274590089377,-0.057419662560576706,0,0,1,1,-0.0522897281543457,-0.10235225336197526,0,0,0,0,-0.0451879991495249,-0.10206506785954489,0,0,0,0,-0.0284923295031763,-0.0682865390694368,0,0,1,1,-0.0190011518068929,-0.04969396878112971,0,0,1,1,-0.0285272599185387,-0.04088251215043641,0,0,1,1
2016-01-07,-0.0032895500860429,-0.008291968780599387,0,0,1,1,-0.0193549443209051,-0.0328575556269579,0,0,0,0,-0.0182348022789456,-0.019623152634098192,0,0,0,1,-0.0300672523053691,-0.04566381509022798,0,0,0,0,-0.0145188263666604,-0.004582060094577586,0,0,1,1,-0.013060539321239,-0.0064918809055792,0,0,1,1,-0.0041310773030528,-0.018790848020386518,0,0,1,1,-0.0223994737504155,-0.03419513765040041,0,0,0,0,-0.0207038823271921,-0.06338135624137439,0,0,0,0,-0.0147846772912708,-0.020800072767818506,0,0,1,1,-0.0061688075041541,-0.03526657247123487,0,0,1,0,-0.0260711834460941,-0.0457875051290998,0,0,0,0,-0.021640171584783,-0.030897463201447692,0,0,0,0,-0.0141544558399495,-0.007109245990185305,0,0,1,1,-0.0166671365447048,0.005943336476582989,0,1,0,1
2016-01-08,0.0066006764002308,-0.011006482588444588,1,0,1,1,0.0072369596546686,-0.0488597070886602,1,0,1,0,0.0072679030076747,-0.03618716336216119,1,0,1,1,0.015608168306088,-0.07972155089321108,1,0,1,0,0.0030014040707788,0.009936766272082814,1,1,0,1,0.0082515669556961,-0.0205211507639093,1,0,1,1,0.0109184941589051,-0.050473323223782826,1,0,1,0,-0.0015272844826538,-0.03172682974139461,0,0,0,1,0.0028187737198355,-0.0861396943142512,1,0,0,0,0.0036375257858605,-0.012231287574914608,1,0,0,1,-0.0089654537746435,-0.06821546450193086,0,0,0,0,-0.0035805238504789,-0.0627177348233791,0,0,0,0,0.0093131987499825,-0.035124347645408595,1,0,1,1,0.0040302037076791,-0.014993731181253604,1,0,0,1,0.0106947164135497,-0.013329456831006808,1,0,1,1
2016-01-11,0.0054645625973461,-0.02189896539218479,1,0,0,1,0.0,-0.0713111365338497,0,0,0,0,0.0080174839673792,-0.03926305925644099,1,0,0,1,0.0006401932184301,-0.10780958927526818,1,0,0,0,0.0164111641302082,0.005584620141637614,1,1,1,1,0.0160591911790743,-0.039273953146317,1,0,1,1,-0.0001204287397317,-0.053615787989189624,0,0,0,0,0.0022094987190854,-0.030725650456559606,1,0,0,1,0.0,-0.07779191716540938,0,0,0,0,0.0081561474414229,-0.027452415801423005,1,0,0,1,0.0173974615666536,-0.07812510129996136,1,0,1,0,0.0155715570476613,-0.048768018682339404,1,0,1,0,0.0063433726218067,-0.0510758605123973,1,0,0,0,0.0190666420637368,-0.016975187571022305,1,0,1,1,0.0253538478503436,-0.03651887744534741,1,0,1,1
2016-01-12,-0.0240683607897365,-0.021137539059367688,0,0,1,1,-0.0267799515887418,-0.10993486939033739,0,0,1,0,-0.0334044653815982,-0.0600829458149659,0,0,1,1,-0.0360495001253317,-0.14302258335336,0,0,0,0,-0.0181982033181377,-0.012450168609250788,0,0,1,1,-0.0328269405768117,-0.078327081114573,0,0,1,0,-0.0405528042978443,-0.07307217648987632,0,0,0,1,-0.0274758242018,-0.0592463668885771,0,0,1,1,-0.0551651157374966,-0.11663381775658538,0,0,0,0,-0.0291011994876516,-0.04920300756135051,0,0,1,1,-0.0523257254954856,-0.14229721173652526,0,0,0,0,-0.0427969184611083,-0.07172142974965322,0,0,0,1,-0.0338106093532667,-0.059242211260578895,0,0,1,1,-0.0396352069057032,-0.042686233269743204,0,0,0,1,-0.0317366799510862,-0.06892537284575781,0,0,1,1
2016-01-13,0.0070007030976031,-0.0032566441059913897,1,0,0,1,0.0060403806280204,-0.1072597298831155,1,0,0,0,0.0167307280513917,-0.059382119920680695,1,0,1,0,0.0042045758159547,-0.11537059815252527,1,0,0,0,0.0087224013892335,-0.005635162969432488,1,0,0,1,0.0150848408577011,-0.038587820406511805,1,0,1,1,0.0150949681613372,-0.046177875263775925,1,0,1,1,0.0149979460653835,-0.036454193277504106,1,0,1,1,0.0096688681034788,-0.079693753407466,1,0,0,0,0.0112921307838205,-0.020576964582270308,1,0,0,1,0.0147959527363947,-0.12519141677643686,1,0,1,0,0.0110895635809202,-0.0416219353721469,1,0,0,1,0.0088967463648128,-0.058297940396220896,1,0,0,0,0.0235835709840515,-0.012055421485629705,1,0,1,1,0.0182985887084807,-0.03426400422878871,1,0,1,1
2016-01-14,-0.0060040638938881,-0.1312664009467046,0,0,1,0,-0.0353570957826074,-0.0983302327992377,0,0,0,0,-0.0347988130070086,-0.05163034181539329,0,0,0,0,-0.0641249881083522,-0.09690992447657207,0,0,0,0,0.0,-0.00878319377184799,0,0,1,1,-0.0270898091795691,-0.0549800360261498,0,0,1,0,-0.0358135525064491,-0.026917143852167223,0,0,0,1,-0.0199311658414097,-0.02068275994639781,0,0,1,1,-0.0434622204000689,-0.055868075852861104,0,0,0,0,-0.0062158920983669,-0.01273198839508571,0,0,1,1,-0.0391176995348501,-0.08051241552860686,0,0,0,0,-0.0430014131403734,-0.026990699163272604,0,0,0,1,-0.0258670560287439,-0.061845818610909396,0,0,1,0,-0.0220389410310178,-0.013572629478107605,0,0,1,1,-0.0359399298522946,-0.031525558030785605,0,0,0,1
