Date,AXP,BAC,BK,C,CB,COF,GS,JPM,MS,PNC,SCHW,STT,TFC,USB,WFC
2015-03-04,6141000,78441600,4402800,14698100,1285400,2340500,1648500,16625500,11533500,2112800,5173100,2426200,2889900,5553200,16653300
2015-03-05,5571800,69510000,4391300,13853800,827000,2042100,1330100,10931300,8976400,2265300,6136100,2365300,2200300,4148900,9576100
2015-03-06,6530200,163207200,9012400,40296600,1476400,3088700,4103600,22719200,14177300,4450900,13199300,6013400,4898500,7189100,17298400
2015-03-09,5846100,72912700,7136500,17542600,797400,3048100,2233700,13001500,8573800,2431900,8000600,2678600,2532100,5090500,11937900
2015-03-10,7525000,85633600,10109700,29061300,1127900,2864700,2768500,16357700,10996700,3556800,6677600,3022500,3094000,5399300,18723200
2015-03-11,4546200,85910100,8878600,32443600,879300,2259600,2098600,13015600,10593900,2356200,5609000,3838400,3481500,6232400,16612900
2015-03-12,9386600,126376300,7296000,50191200,902100,4562500,3114800,18159600,18321000,4031800,6592500,3745100,5144900,9056800,26266900
2015-03-13,6919400,88581900,11655400,20780600,1322200,2770500,3095100,16506200,11237500,3052800,9251800,2741400,4372000,5593800,17591400
2015-03-16,5295100,63406500,5253100,17031600,1266300,2888900,2127700,15182900,8077200,2706000,6866900,2648700,3000100,6022300,15505200
2015-03-17,4258200,67315000,4604100,13902900,1248400,2201300,1883200,11718300,8381800,2580100,7752800,2200200,4375100,4972800,13107700
2015-03-18,6449400,86387600,7121500,18383700,1559700,2175900,2790100,15697900,9870300,3212600,14735200,2847600,6753600,8831300,20000500
2015-03-19,4677000,109169200,6760700,21150000,1554400,2653800,2097100,11523800,10873800,3344000,12247200,3063600,7499500,7568500,14841100
2015-03-20,9338100,99867700,9665100,22466200,3764500,3649600,3473800,18368300,14009000,3297200,10170800,3356500,6709700,10343100,26487200
2015-03-23,7291700,73773500,4384500,13148900,2442800,1731500,1590500,15112900,7341600,1909200,4924000,1757900,3465300,6753900,16477400
2015-03-24,5217800,77011000,4429800,12887700,1032600,2118100,1799100,12128700,7952200,3938500,5033900,1854000,3803000,4844500,13927400
2015-03-25,8908000,88541500,4893700,15418200,1171900,1918300,2542000,14950900,9066500,3076900,5568500,2493800,3902400,6434700,15413700
2015-03-26,16181300,76741500,5289500,21839600,1078200,2291100,2377200,14039600,10180500,3525700,7821400,2727800,3633100,6705900,15038600
2015-03-27,9022600,73140800,4789100,16052400,1225900,2636300,1539600,11755800,9157800,2720400,7319000,1917600,4616100,4816300,13600300
2015-03-30,7285200,70835300,3702900,13289200,961000,1962700,2403800,20656500,8954200,2483400,4145200,1847200,2296000,6236700,11706700
2015-03-31,5918300,61381700,3650600,13928900,1131200,2666700,2146600,17346700,10258200,2339000,5342800,2597400,2944900,5714100,13306200
2015-04-01,6163500,73153900,4686600,21577700,1417300,3607600,4031400,18100600,7975800,3079500,8263400,2480300,4328900,6130100,15436900
2015-04-02,5695200,50443500,3555000,13966900,1170500,1968500,2296300,12697800,6271300,2226800,6892500,1920200,2908400,4470700,13498900
2015-04-06,3831100,51189500,3883000,13250800,965300,2099300,1997000,12025200,6624300,2560000,6929800,1634100,5011900,5942800,10786100
2015-04-07,5919200,50057800,4396100,11562700,1071900,2301100,1778000,11505500,8045000,2074800,3625300,2328700,3122300,4355400,10853700
2015-04-08,6405800,71732500,3315600,11773000,1346500,2564200,1997300,11734000,6602800,2199200,4818900,1934100,2847400,3820400,9828700
2015-04-09,4288100,44935600,2905500,13591400,893600,1856800,1986500,11728500,7910400,1824700,4718600,1799200,2540600,3702700,10279400
2015-04-10,3442000,43817700,2086200,13032000,657200,2233400,1764800,9869700,10047800,2178700,6021500,1699300,2151100,4030200,9531500
2015-04-13,4092000,49191200,3662200,11984400,739200,1644200,2196100,15468700,6207400,2523900,5967000,1793100,2595000,6135300,14931600
2015-04-14,4213200,84385400,4653600,13259700,1183500,2773800,3267400,33775400,12320000,4803700,6881600,1584900,3001000,7541800,29289600
2015-04-15,6042700,124479100,3498300,19041100,858400,3696200,5066100,28732200,13022600,6130100,9128700,1910700,2413000,10906400,16899900
2015-04-16,8084800,105591000,2979900,38345600,1166800,2373400,5976900,16640500,8876100,4751600,4825600,1177400,2114500,10147100,15643200
2015-04-17,22112500,88994300,5111800,23287000,1570000,2752600,4578400,20221200,10033800,3098600,6221300,2238200,2961700,9390500,17569700
2015-04-20,8432600,53649400,3497500,14730000,1043900,1699900,2616600,12755300,13301900,2090400,5027600,1148100,2698600,5703100,13327200
2015-04-21,5125000,64033100,3839800,19554400,2888200,2294900,1868300,14985100,11380900,1862400,7020600,2514600,2532400,6165600,10954200
2015-04-22,7318100,73092800,9543600,14873400,2567200,2543200,1938100,14484700,10161300,2333100,6795800,3247400,3801800,5518100,13563800
