Date,AXP,BAC,BK,C,CB,COF,GS,JPM,MS,PNC,SCHW,STT,TFC,USB,WFC
2015-12-31,0.5714854477561538,0.5347898800972429,0.5255407416823281,0.5527612825721738,0.5363844373330163,0.5257076047852455,0.5635583123101854,0.5678763744442059,0.5851743263058684,0.5522430787120581,0.5343103095093439,0.49769842858423213,0.5417608897410009,0.5815201358851853,0.5247854068297001
2016-01-04,0.5737357159796158,0.5427035946764854,0.5420580931233303,0.5469542470180975,0.5378390885168304,0.5439620276687663,0.564231570645378,0.5620604639126751,0.5918256840203501,0.5630724976785487,0.5393839449574713,0.5019637513853875,0.5416574964209715,0.5613757102054672,0.5200622021576176
2016-01-05,0.6090306278377065,0.563494161907185,0.5575542658510692,0.5566410846415621,0.5378928027374585,0.5860082044886792,0.5625646086514743,0.5870133480892925,0.5943649435001682,0.5819933578267378,0.5666376069175619,0.5231122871854109,0.5608477131365454,0.5574132805666884,0.5168181735248294
2016-01-06,0.6014971878736138,0.544977509870002,0.5415766245074858,0.5445416572687231,0.5422916132838762,0.5754865709056681,0.5463939904046039,0.5752369522534223,0.5854846128922752,0.5694758652700921,0.5401543097393448,0.5131650193419285,0.5476274607075439,0.5707600117828878,0.5272157055021732
2016-01-07,0.5747954818640708,0.5719862763839746,0.5542201356637692,0.5370894659620887,0.5353525295485574,0.5636885027800208,0.5693612254774137,0.5722803065435097,0.5985630833666878,0.5780353180490374,0.560755436206049,0.5298638533332053,0.549251729527994,0.5611303075587154,0.5286844826115512
2016-01-08,0.583055832048483,0.5582458793300797,0.5337065207250481,0.5569091749858558,0.5400089978110846,0.5486392858204081,0.5649165705485661,0.5999541690880269,0.5882830796106369,0.5631653519315462,0.556589031854506,0.5227311465531861,0.5527067553949938,0.5655123248411179,0.5180901999988682
2016-01-11,0.566804732444577,0.5447843026765146,0.5519388607843051,0.5570856726284473,0.5382511049296417,0.5333641340968013,0.5633593966697964,0.5697843236211569,0.586920862071563,0.5634973669252602,0.5388635246489463,0.5067708531609079,0.54006956044558,0.5694204662871235,0.5159063932401982
2016-01-12,0.5755625572136204,0.5425261462949985,0.5406805061949312,0.5660483367365038,0.534232391633938,0.5458349547314407,0.5586233772298962,0.5746240683259484,0.5854736259553277,0.5460124485084771,0.5271512863997541,0.5099491149861523,0.5416558858637441,0.5863992899652025,0.5291742764882467
2016-01-13,0.6050001630666907,0.5539185332103297,0.5469468455705399,0.537641227299325,0.5360049730439914,0.5778491959710278,0.545907705825178,0.5540456616827304,0.5863475164557962,0.571772711791841,0.5529859609389677,0.5260943565641727,0.550341980276181,0.565484330738799,0.5221423518300545
2016-01-14,0.6021394012203379,0.5658266785858761,0.5434750064416235,0.5693459748784961,0.5325558958918194,0.5724746406537952,0.5537582357831162,0.5795892638591168,0.5998186893900429,0.5772301696386491,0.5594022124392568,0.5350327980920963,0.5541784567551926,0.5613396136183849,0.5306643216381931
2016-01-15,0.6041283585169647,0.5671799467475781,0.5245731597553981,0.5361959228070265,0.5379949366937091,0.5968453776014168,0.5437632116680046,0.5662532134240453,0.578134298128965,0.5827846497415415,0.5685655229467074,0.5414575082293952,0.5604954887330749,0.5675113149915619,0.5515484308850468
2016-01-19,0.58949386587147,0.5596208120124754,0.5480182220601028,0.556199042349087,0.5399038272445632,0.5666012994704782,0.5602043160785463,0.575116820109692,0.5854624360043784,0.5657174656483355,0.5552389864937606,0.5560147388673895,0.5549430532824807,0.5639413598493596,0.5275774911269381
2016-01-20,0.5741629447024584,0.5504946089214653,0.5306699786949359,0.5485265937352852,0.5347808632511205,0.5745478636380246,0.5543609748024538,0.5773225865303785,0.5914319554513615,0.5988311688281036,0.5802303260023729,0.5085493523658227,0.5365965648551833,0.5522475537855568,0.5164603984795156
2016-01-21,0.5985014414719948,0.5926807624510982,0.5247313752176548,0.5509020184228409,0.5373728908877712,0.6065855786900202,0.5362981112350441,0.5681808663152451,0.5874451825219266,0.6037945840515841,0.5744652053589815,0.5258159915130063,0.5779230883563372,0.5604945665906208,0.5349097615085093
2016-01-22,0.5900592147424035,0.5737710248135016,0.5253329050218262,0.5767636265920753,0.541093783814151,0.6050609872918704,0.5433290154351138,0.5802722351032773,0.5747489184458395,0.5899399329852623,0.5257417309711757,0.565991529126141,0.5733990034231512,0.5649012357966062,0.5579583731023324
2016-01-25,0.5643185502320959,0.5956318812474181,0.5476642982633074,0.5440214553095547,0.5401682271918405,0.5981479148104077,0.5541841051081826,0.600139936015022,0.5881496696019224,0.5833735319229331,0.5859890126218473,0.573188954982601,0.5783498632275198,0.5655604176182419,0.5397513965364874
2016-01-26,0.5752750158010739,0.5300010554505247,0.5363506625972829,0.5714670633693074,0.5351326245564735,0.582191045898047,0.5660462498148924,0.5811214108593443,0.5869619777008912,0.5857823718550366,0.5477990704678092,0.5187342531333113,0.5698341114520317,0.5743184034026259,0.5524396704477005
